sport,position,retire_year,retire_age,years_played
nba,C,1993,30,7
nba,C-F,1949,-67,3
nba,F-C,1980,29,7
nba,C,1952,-77,1
nba,G-F,2018,32,11
nba,G,2011,32,10
nba,F,1976,25,3
nba,F,2018,23,1
nba,G,2012,36,12
nba,G,2004,24,1
nba,G,1961,29,2
nba,C,1975,36,14
nba,F,2018,24,2
nba,F-G,1957,27,4
nba,G,1976,26,2
nba,F,2018,21,2
nba,F,2010,29,11
nba,F,2015,24,1
nba,C,2000,36,15
nba,G,2003,25,5
nba,F,2017,24,4
nba,G,1997,27,3
nba,F,2000,27,5
nba,F,1982,27,7
nba,G,1969,26,1
nba,G,1995,26,3
nba,F,1992,27,3
nba,F,2001,33,10
nba,C,2012,24,1
nba,C,1988,34,11
nba,F,2017,22,1
nba,G-F,1950,-76,1
nba,C,1957,25,1
nba,F,1970,25,1
nba,F,1989,25,1
nba,F,1989,25,3
nba,F,2018,26,2
nba,G,1980,24,2
nba,G,2005,33,10
nba,G,2018,30,6
nba,C,2015,23,1
nba,G,1968,23,1
nba,G,1966,34,10
nba,G,1947,-75,1
nba,G,1981,32,9
nba,G,2012,34,14
nba,G,1969,24,1
nba,C,2014,28,10
nba,C,1956,56,1
nba,F-G,1979,26,4
nba,F-C,1975,23,1
nba,G,2014,38,17
nba,G,1978,35,12
nba,F,1987,26,1
nba,C-F,2018,26,1
nba,G,2018,24,1
nba,F,1959,24,1
nba,F,1992,36,13
nba,G,1989,34,12
nba,F,1949,-73,1
nba,C-F,2018,26,7
nba,F,2018,30,3
nba,C,1990,28,5
nba,F-C,1952,-69,4
nba,G,1981,24,1
nba,C-F,2018,27,4
nba,C,1971,30,1
nba,G,1994,35,13
nba,F,1993,23,1
nba,F,1985,22,1
nba,G,1995,27,1
nba,G,1988,23,1
nba,F-C,2016,27,7
nba,G,2016,36,13
nba,G,2018,22,1
nba,G,2007,24,1
nba,G,1962,23,1
nba,G,1993,27,3
nba,F,1993,27,1
nba,F,2014,28,9
nba,G,2002,35,13
nba,G,2018,29,8
nba,G,1951,-75,1
nba,F-C,1976,32,10
nba,F-C,1949,-66,2
nba,F,2004,35,11
nba,C,2009,34,9
nba,G,2018,26,5
nba,G,1982,24,1
nba,G,1953,-71,4
nba,G,2005,26,1
nba,G,1965,32,7
nba,C,1978,33,10
nba,G-F,2014,34,11
nba,G,2018,26,1
nba,G-F,2018,29,4
nba,G,2001,36,14
nba,C,2018,34,13
nba,F,2001,28,4
nba,C,1995,33,10
nba,F,1954,23,1
nba,F,2018,24,2
nba,G,1958,27,1
nba,F,1962,27,1
nba,G,1978,24,1
nba,G,1995,26,3
nba,G,1997,27,1
nba,F,1968,26,4
nba,F,1996,28,6
nba,F,2016,36,12
nba,C,1970,25,1
nba,G,2018,22,3
nba,G,1997,25,2
nba,F,2018,31,8
nba,F-C,2010,26,4
nba,G-F,1981,35,13
nba,C,2009,33,10
nba,F,1999,25,2
nba,F,1971,34,11
nba,F-C,2015,34,13
nba,C,2005,25,2
nba,F-C,1950,-77,2
nba,F,2000,28,1
nba,C-F,1951,-73,1
nba,F,1954,-73,5
nba,F-C,2016,32,13
nba,F,1978,25,1
nba,F,1980,24,1
nba,F-C,1984,31,9
nba,C,2004,26,3
nba,F-G,1953,-72,4
nba,F,2002,25,3
nba,F,2009,38,13
nba,F,2010,35,11
nba,F-C,1970,30,3
nba,G-F,1998,35,10
nba,C-F,1995,34,11
nba,C,1968,29,1
nba,G,2002,29,3
nba,C,1972,29,6
nba,G,1997,24,2
nba,G,1979,25,1
nba,G,1978,28,6
nba,F,1975,23,1
nba,G,2012,36,14
nba,C,1951,-71,2
nba,G-F,1981,24,3
nba,G,2007,24,1
nba,G,1975,25,3
nba,F,2012,25,2
nba,F,1971,29,7
nba,F,1982,23,1
nba,F,1980,27,3
nba,G,2018,28,8
nba,G,1968,27,1
nba,F-G,1977,34,10
nba,G,1984,25,3
nba,G-F,1989,32,10
nba,F,1976,24,3
nba,G,1950,-78,1
nba,F-C,2006,27,5
nba,C,2005,33,12
nba,F-C,2018,20,1
nba,C-F,1997,29,1
nba,F,1996,26,1
nba,F,2005,29,2
nba,C,2000,23,1
nba,F-G,1990,27,4
nba,F,2016,37,17
nba,G,2002,32,11
nba,F-C,1955,-70,6
nba,C-F,1983,25,2
nba,F,1968,26,3
nba,G,1953,22,1
nba,G,1986,31,9
nba,G-F,1962,-65,15
nba,F,1998,28,4
nba,G,2004,24,2
nba,F,1959,23,1
nba,F,1955,25,1
nba,C,1994,34,11
nba,F-G,2018,32,11
nba,G,2005,25,4
nba,F-C,1982,31,9
nba,G,1986,31,8
nba,G-F,2014,29,8
nba,C,2010,31,9
nba,G,1956,-67,7
nba,F-C,1997,38,13
nba,F-G,1987,34,12
nba,F-C,1975,36,13
nba,F,1947,-76,1
nba,F,1947,-76,1
nba,F-G,1975,28,6
nba,F-G,1983,32,10
nba,G,1968,24,1
nba,G,1978,26,1
nba,C,1987,24,2
nba,G,1981,23,1
nba,F,2012,25,3
nba,G,1983,25,2
nba,G,2018,26,2
nba,G,1978,24,4
nba,F-G,1950,-70,2
nba,F,1971,71,1
nba,G,2018,33,11
nba,G-F,2018,22,1
nba,F,1994,25,3
nba,G-F,2014,25,3
nba,F,1988,30,8
nba,G,1998,33,10
nba,F,2009,28,3
nba,F-G,2017,25,2
nba,F,1950,-73,2
nba,G,2018,34,10
nba,F,2002,34,13
nba,F,2005,26,4
nba,F,1949,-74,1
nba,G,2002,34,12
nba,G,2009,25,3
nba,F,2012,25,3
nba,G,2010,32,8
nba,C,2002,23,1
nba,G,1984,36,13
nba,F,1958,23,1
nba,G,1999,24,1
nba,G,1947,-76,1
nba,G,2015,23,1
nba,F-G,2018,22,2
nba,F,1980,29,7
nba,G,2005,24,4
nba,F,2013,31,12
nba,G,1972,32,5
nba,F,1947,-72,1
nba,C,1981,26,1
nba,G,2018,28,5
nba,G,2000,26,4
nba,G,2016,24,2
nba,C-F,1997,34,11
nba,G,1992,23,1
nba,F-C,2008,39,15
nba,G,2003,35,12
nba,F,1990,25,1
nba,C-F,1985,27,5
nba,F-G,1975,33,8
nba,C,1980,30,8
nba,G,2015,30,9
nba,F,1952,-77,5
nba,G,2018,23,1
nba,G,2005,26,4
nba,F-G,1992,32,8
nba,C,1950,20,2
nba,F,1990,23,1
nba,F,1969,24,1
nba,G,1973,27,1
nba,G,2006,34,9
nba,G-F,2018,25,2
nba,G,1972,34,8
nba,F-C,1983,29,8
nba,G-F,2016,38,20
nba,F-C,2003,38,15
nba,C,2018,21,1
nba,C,1986,27,3
nba,C,1990,26,1
nba,G,1976,23,1
nba,F,1963,26,2
nba,G,1990,24,1
nba,F-C,1963,25,2
nba,G,2009,33,10
nba,G,1986,32,10
nba,F,1965,27,5
nba,F,2016,28,7
nba,F-C,1952,-73,4
nba,F-G,2002,34,12
nba,G-F,2005,28,6
nba,F,2002,35,12
nba,G-F,2018,27,5
nba,C,1969,24,2
nba,F,1979,23,1
nba,G,1953,23,1
nba,C-F,1966,24,1
nba,F-C,1972,25,3
nba,G,1978,25,3
nba,C-F,2007,34,5
nba,G,2017,25,4
nba,G,1982,24,1
nba,G,2018,27,7
nba,G,2006,26,2
nba,G,2006,27,1
nba,C,1981,29,7
nba,G,1950,-76,1
nba,G,1982,24,1
nba,F,1994,23,1
nba,G,1968,23,1
nba,G-F,2001,30,8
nba,F,1952,-72,2
nba,F,1996,23,1
nba,C-F,1958,24,2
nba,F,1965,26,4
nba,F-G,1999,31,9
nba,G,1993,31,9
nba,G,1985,35,13
nba,F,1973,24,1
nba,G,1966,30,5
nba,G,1965,27,4
nba,F,2016,36,14
nba,C,1991,25,3
nba,F-C,2007,22,3
nba,F-G,2018,29,7
nba,G,1972,26,4
nba,G-F,2004,34,11
nba,F-G,2016,37,14
nba,G,2015,26,2
nba,F,2012,28,1
nba,C,2014,27,9
nba,G,2015,32,10
nba,F,1970,70,1
nba,F,1983,27,5
nba,F-G,1951,-72,5
nba,F,1947,-75,1
nba,F,2006,25,3
nba,F,1964,29,6
nba,F,2018,23,4
nba,F,2003,30,8
nba,F-C,2000,38,16
nba,G,1952,-73,2
nba,G,2015,26,2
nba,G,2018,37,13
nba,F-C,1998,32,9
nba,C,1969,26,2
nba,F-G,1975,34,11
nba,G,2018,25,5
nba,F-G,1955,-72,7
nba,F,1980,30,8
nba,G,1992,23,1
nba,G,1947,-74,1
nba,F,1991,25,1
nba,G,1949,-75,3
nba,G,1981,34,12
nba,F,1993,23,1
nba,C-F,2013,39,17
nba,C,2005,37,15
nba,F-G,1995,33,11
nba,G,2018,27,5
nba,G,1974,27,5
nba,C,2018,24,4
nba,F,2011,23,1
nba,F,1973,29,5
nba,F,2012,35,12
nba,G,1962,24,1
nba,F-C,1947,-69,1
nba,G,2005,29,1
nba,G,1990,31,6
nba,G-F,1969,25,1
nba,C,1976,25,1
nba,G-F,1951,-68,5
nba,G,1955,23,1
nba,F,2011,27,5
nba,F-C,1951,-66,2
nba,F-C,2000,39,16
nba,G,1981,33,10
nba,G,2001,27,6
nba,G,1999,24,1
nba,F,1987,32,10
nba,F-G,1985,34,10
nba,G,1973,33,6
nba,G-F,1980,27,3
nba,F,2018,32,9
nba,C-F,1991,33,11
nba,G,2013,33,10
nba,C-F,1997,28,1
nba,G,2012,37,13
nba,G,1986,28,6
nba,G-F,1977,32,8
nba,F-G,1976,32,9
nba,G,1985,24,2
nba,F-C,1950,-74,1
nba,G,2004,28,1
nba,G,1982,25,2
nba,G,1980,24,2
nba,G-F,2018,41,20
nba,G,2018,27,5
nba,C,1995,38,16
nba,F,1969,28,1
nba,G,2018,24,1
nba,F,1977,25,1
nba,F,1973,23,1
nba,G,2008,39,15
nba,F,2018,30,9
nba,C-F,1985,34,11
nba,F,1993,30,8
nba,F,1972,24,1
nba,C,2007,33,10
nba,F,1986,28,5
nba,F-C,2018,25,3
nba,C,2001,33,11
nba,F,2018,24,1
nba,C,1989,30,5
nba,F,2001,32,11
nba,G,2000,23,1
nba,G-F,1953,-64,4
nba,G,2005,25,1
nba,G,2018,32,10
nba,F,1974,25,2
nba,C,1973,37,14
nba,F,1974,31,8
nba,F-C,1998,39,17
nba,F,1989,25,1
nba,C,2018,36,17
nba,F,2018,31,11
nba,G,1980,34,12
nba,F-C,1950,-70,1
nba,G,2000,33,12
nba,G-F,1972,27,4
nba,F-C,1972,31,10
nba,G,1978,27,5
nba,F,1986,23,1
nba,G-F,2006,35,13
nba,G,1993,37,15
nba,G,1981,31,10
nba,G,2015,24,1
nba,F,1991,24,3
nba,F-C,2000,32,9
nba,G-F,2014,31,10
nba,G,1997,25,2
nba,G,2003,36,9
nba,F,1951,-74,2
nba,C-F,1982,33,10
nba,F,2018,21,2
nba,G,1955,25,1
nba,F-C,1955,-72,5
nba,C,1974,28,5
nba,G-F,2007,37,15
nba,G,2014,28,1
nba,F,2017,26,2
nba,G,2017,25,1
nba,G-F,2015,27,1
nba,G,1970,26,3
nba,G-F,1996,24,1
nba,G,1976,35,10
nba,G,1985,25,2
nba,F,2015,27,6
nba,G,2018,27,5
nba,F-C,2004,29,6
nba,G,1969,25,2
nba,F,2016,24,1
nba,G,2018,26,4
nba,G,2018,25,1
nba,F,2015,27,3
nba,F,1969,25,1
nba,C,1996,26,1
nba,G,2009,31,8
nba,G,1980,31,9
nba,G,2006,29,6
nba,F,1976,33,11
nba,G,2018,24,1
nba,C-F,1958,-64,8
nba,F-C,1952,-70,3
nba,C,2000,24,3
nba,G-F,1950,-70,1
nba,C,1947,-70,1
nba,F,1975,24,1
nba,F,1991,26,1
nba,G,1987,25,2
nba,C,2001,30,6
nba,G,2017,29,6
nba,F,1994,33,8
nba,F,2005,38,15
nba,F,1979,29,6
nba,F-C,1958,-66,9
nba,F,1988,27,1
nba,G,2004,36,14
nba,C,2005,28,5
nba,G,1981,27,1
nba,F-G,1987,29,7
nba,G-F,1981,30,8
nba,G,1998,25,1
nba,F-C,2011,33,10
nba,C,2014,36,13
nba,G,1972,26,2
nba,F,2018,21,1
nba,G,2010,26,4
nba,G,2011,24,1
nba,C-F,2018,21,1
nba,G-F,2018,27,1
nba,G,2018,31,9
nba,F,2018,38,14
nba,F,1949,-75,1
nba,G,2001,26,1
nba,G,1995,33,11
nba,G,1975,29,7
nba,F,1984,23,1
nba,F,1968,25,1
nba,F,1989,25,2
nba,G,1964,25,1
nba,G,1972,29,5
nba,C-F,1964,34,12
nba,G,1968,24,1
nba,G,2018,31,11
nba,F-G,1962,29,7
nba,F-C,2000,32,9
nba,G,2018,25,3
nba,G,1976,23,1
nba,G,1995,36,13
nba,F-C,1948,-73,2
nba,G,2013,31,7
nba,F-C,1996,29,6
nba,G-F,1955,-74,1
nba,G-F,1950,-73,1
nba,F,2012,32,9
nba,G,2013,26,6
nba,G,1989,31,9
nba,F-C,1988,32,9
nba,F,1978,23,2
nba,G,2005,23,2
nba,G,2018,25,2
nba,G,2018,24,1
nba,F,1986,23,1
nba,G,1971,23,1
nba,F-C,2018,27,4
nba,F,1956,-70,6
nba,G,1994,25,2
nba,C-F,1985,28,4
nba,G-F,1990,34,12
nba,C-F,1992,36,14
nba,C,1992,28,1
nba,F,2016,32,4
nba,F,1982,27,3
nba,G,1992,27,3
nba,G-F,2001,39,16
nba,G,1994,26,3
nba,C,1947,47,1
nba,G,1953,-75,4
nba,C,1991,35,13
nba,G,1968,37,14
nba,F,2018,25,1
nba,G,2016,24,2
nba,F-C,1950,-74,1
nba,G,1999,24,2
nba,F,1980,29,1
nba,C-F,1976,35,12
nba,G,1965,23,1
nba,F,1997,28,5
nba,C,2011,25,1
nba,C-F,2018,28,8
nba,G,1970,-58,20
nba,F,2018,28,5
nba,C-F,1983,35,13
nba,G,1983,28,1
nba,G,1963,27,1
nba,F,1979,24,2
nba,G-F,2018,26,5
nba,G-F,2018,28,1
nba,F,2004,29,7
nba,G-F,1971,30,5
nba,G,2018,38,18
nba,F,2009,23,1
nba,G,2018,30,8
nba,F,1976,26,1
nba,C,1986,28,1
nba,F,1947,-76,1
nba,G,2002,23,1
nba,G,1985,37,8
nba,G,1969,23,1
nba,F,1989,24,2
nba,G,2009,22,2
nba,F-G,1953,-72,5
nba,C,1971,25,1
nba,C,1984,29,6
nba,G,1980,23,1
nba,F,2009,34,12
nba,F,1986,25,1
nba,C-F,1973,25,3
nba,C,1984,23,1
nba,G,1950,-73,3
nba,G,2003,34,11
nba,G,1968,28,1
nba,F,1978,24,1
nba,G-F,1995,26,4
nba,F,2018,28,6
nba,C-F,1971,25,2
nba,F-C,1991,35,12
nba,F,2000,39,18
nba,G,2002,26,3
nba,F-C,1976,33,11
nba,F,2018,31,9
nba,C,1975,29,7
nba,G,2016,25,4
nba,C,1999,25,2
nba,C,1993,28,1
nba,F,1947,-72,1
nba,F-C,1997,40,17
nba,F,2001,29,7
nba,G,1950,-72,2
nba,G,2002,38,16
nba,C,2013,31,12
nba,G,2010,24,1
nba,F-G,2005,37,12
nba,G,2017,27,4
nba,G,2018,30,9
nba,C,1996,26,1
nba,G,1977,26,4
nba,C,1968,26,1
nba,F,1952,-74,1
nba,G,1992,31,10
nba,C,2015,34,14
nba,F,1949,-73,3
nba,C,2012,37,16
nba,G,1979,35,12
nba,F-G,1982,35,13
nba,G,2011,36,14
nba,F,2005,23,1
nba,G,1998,31,6
nba,G-F,2013,32,10
nba,C,1977,33,10
nba,G,2018,27,5
nba,G,1997,27,2
nba,F-G,1991,35,15
nba,C,1953,23,1
nba,G,1950,-72,1
nba,F-C,1970,26,3
nba,C,1998,26,4
nba,G,1975,24,1
nba,C-F,1976,23,1
nba,G,1962,25,1
nba,F,2015,28,2
nba,C,1994,29,8
nba,G,1971,71,1
nba,F,2001,30,3
nba,F,2009,25,2
nba,G-F,1955,-65,7
nba,F,2015,24,2
nba,F-C,2018,25,6
nba,F-C,2006,38,13
nba,G-F,1947,-74,1
nba,G,2012,33,13
nba,F,2000,28,4
nba,F,1947,-73,1
nba,F,1973,23,1
nba,G,1992,37,15
nba,F-G,1994,24,1
nba,F,1990,32,9
nba,G,1974,25,3
nba,F-C,2007,38,16
nba,F-C,2018,22,2
nba,F,1977,28,5
nba,F,2018,29,8
nba,G,2003,35,7
nba,F-C,2015,29,8
nba,F,1980,24,2
nba,G,2004,34,12
nba,C-F,1975,34,8
nba,G,1986,31,10
nba,F,2012,32,9
nba,C-F,1976,31,8
nba,F-G,1989,26,1
nba,G-F,2000,27,5
nba,F,1977,27,4
nba,F-G,1977,27,6
nba,G,1973,27,4
nba,F,1983,27,1
nba,F,1981,23,1
nba,C,2010,26,4
nba,G,1962,24,2
nba,C,1956,24,1
nba,G,2010,31,12
nba,G-F,1982,28,6
nba,F-C,2001,34,12
nba,C-F,1958,27,5
nba,G-F,1992,38,15
nba,F-C,1973,30,6
nba,C,1971,26,1
nba,G,2015,24,1
nba,C,1989,32,14
nba,G,1995,32,9
nba,F,1980,23,1
nba,F,2016,23,1
nba,F,2012,28,1
nba,G,1968,23,1
nba,F,1995,28,5
nba,G-F,2001,31,9
nba,F,2015,27,6
nba,F-G,1988,28,5
nba,G,2014,27,2
nba,G,1980,23,1
nba,G,1971,25,1
nba,F-G,1974,34,12
nba,F-C,2005,32,10
nba,C,2018,29,5
nba,F,1969,26,1
nba,F-C,1962,26,4
nba,G,1999,28,6
nba,F,1947,-77,1
nba,G,2016,24,1
nba,F,2018,24,3
nba,G,2002,36,14
nba,G,2018,29,2
nba,F-C,1999,30,8
nba,G,2013,31,9
nba,G,2006,32,10
nba,G,2018,28,5
nba,C,1952,-74,1
nba,F,1989,23,1
nba,F-C,1982,25,3
nba,G,1997,27,4
nba,G,1959,-70,5
nba,F,2018,33,14
nba,F,1984,26,3
nba,G,1953,23,1
nba,G,2013,28,2
nba,C,1977,28,6
nba,G,1973,26,3
nba,G,1976,24,2
nba,G-F,2018,29,9
nba,G,1967,22,1
nba,G,1958,27,3
nba,C-F,1951,-71,1
nba,G,2004,29,5
nba,F,2018,22,2
nba,F-C,2017,35,14
nba,G-F,2010,28,4
nba,G,2008,23,1
nba,G,2008,30,6
nba,F,2008,30,5
nba,G,1977,26,2
nba,G-F,2003,28,5
nba,G,1975,24,1
nba,F,1978,27,5
nba,G,1952,-74,1
nba,C,1968,23,1
nba,G,2010,28,5
nba,C,2018,28,5
nba,C-F,1971,35,13
nba,C-F,1983,35,13
nba,G,1978,27,5
nba,C,1968,24,1
nba,F,1976,27,1
nba,G,1982,24,1
nba,F,1947,-70,1
nba,F,1950,-74,1
nba,G,1991,24,2
nba,F,1972,22,1
nba,F-G,1968,68,1
nba,F,1972,29,5
nba,G,2018,25,4
nba,F,2012,29,7
nba,C,2013,31,12
nba,F-G,1973,33,11
nba,G,1955,-74,1
nba,C,2005,37,16
nba,G,2009,31,7
nba,G,1997,30,1
nba,F,1950,-74,1
nba,C,2008,31,10
nba,G,1951,-76,2
nba,F-C,1950,-69,4
nba,C,1995,38,15
nba,G-F,1954,-72,4
nba,G,1988,23,1
nba,G,1950,-76,1
nba,G,2013,33,13
nba,F,1981,27,4
nba,F,2015,32,7
nba,F,1972,24,1
nba,G,2018,22,1
nba,G,2018,24,1
nba,G,2009,25,3
nba,G,1987,23,1
nba,G,1983,27,2
nba,C-F,1983,29,7
nba,G,2001,35,12
nba,G,2017,31,8
nba,G,2015,28,7
nba,F,1972,27,5
nba,G,1972,23,1
nba,G,2011,27,1
nba,C,1948,-75,1
nba,C,1975,25,2
nba,F,1963,23,1
nba,F,1990,24,1
nba,G,2018,32,10
nba,G-F,2015,26,1
nba,C,1997,35,11
nba,G,2004,30,6
nba,F-G,1985,31,11
nba,G,1991,33,11
nba,G,2015,25,1
nba,G,1998,36,15
nba,G,1997,24,1
nba,F,1975,28,5
nba,C,2005,30,4
nba,C,1981,27,1
nba,C,2018,25,6
nba,G,1958,25,1
nba,C,1997,33,11
nba,G,1979,29,7
nba,C,2003,38,16
nba,F-G,2018,33,11
nba,G,1983,27,4
nba,F,1947,-75,1
nba,G,1965,25,3
nba,G,2013,31,9
nba,F,2016,25,1
nba,C,1963,33,8
nba,G,1999,36,14
nba,G,1969,69,1
nba,F,1996,27,4
nba,G,1998,26,4
nba,F-C,1951,-71,3
nba,F-C,2016,40,19
nba,G,1990,36,14
nba,F-G,2017,37,15
nba,G,2018,24,2
nba,G,1958,27,1
nba,G-F,1991,36,14
nba,F,2011,30,8
nba,F-G,2018,30,11
nba,G,1983,25,3
nba,F,1972,23,1
nba,F,1995,28,3
nba,F,1986,26,2
nba,F,1975,27,4
nba,G,1976,24,2
nba,F-G,1949,-72,1
nba,F,1982,23,1
nba,F,1954,24,1
nba,G,2012,25,1
nba,G-F,1998,32,10
nba,C,1978,32,10
nba,F-C,1997,27,4
nba,F,1954,-73,1
nba,F,2016,25,2
nba,G,1969,26,1
nba,C,1993,36,11
nba,G,1987,28,5
nba,F,2013,24,3
nba,G,1958,23,1
nba,F,1978,26,4
