playerid,sport,position,retire_year,retire_age,years_played
Matt Dyson,NFL,LB,2013,41,1
Nate Eachus,NFL,RB,2012,22,1
Biren Ealy,NFL,WR,2009,25,3
Adimchinobe Echemandu,NFL,RB,2007,27,4
Dominique Edison,NFL,WR,2005,19,6
Donnie Edwards,NFL,LB,1992,19,3
Robert Edwards,NFL,RB,1992,18,3
Isaiah Ekejiuba,NFL,LB,2011,30,7
Shane Elam,NFL,LB,2012,35,7
Jamin Elliott,NFL,WR,1998,19,16
'Omar Ellison,NFL,WR,1998,27,16
Jerry Ellison,NFL,RB,1998,27,16
Bert Emanuel,NFL,WR,2005,35,1
Carlos Emmons,NFL,LB,2006,33,11
Justin Ena,NFL,LB,2005,28,4
Jamar Enzor,NFL,LB,2005,24,1
Darius Eubanks,NFL,LB,2013,22,1
Liam Ezekiel,NFL,LB,2005,23,1
Mario Fannin,NFL,RB,2013,26,3
Randy Fasani,NFL,QB,2002,24,1
Ciatrick Fason,NFL,RB,2002,20,1
Jermaine Fazande,NFL,RB,2000,25,2
John Fiala,NFL,LB,2002,29,5
Alfred Fincher,NFL,LB,2002,19,11
Brian Finneran,NFL,WR,2002,26,11
Joe Flacco,NFL,QB,2013,28,6
P.J. Fleck,NFL,WR,2004,24,1
Cory Fleming,NFL,WR,2004,33,1
Troy Fleming,NFL,RB,2004,24,1
London Fletcher,NFL,LB,2004,29,1
Terrell Fletcher,NFL,RB,2004,31,1
DeShawn Fogle,NFL,LB,1994,19,3
Moise Fokou,NFL,LB,2013,28,5
Glenn Foley,NFL,QB,2004,34,8
Steve Foley,NFL,LB,2004,29,8
J.D. Folsom,NFL,LB,2004,20,8
James Folston,NFL,LB,2004,33,8
Carl Ford,NFL,WR,2013,33,3
Jacob Ford,NFL,LB,2013,30,3
Jacoby Ford,NFL,WR,2013,26,3
Michael Ford,NFL,RB,2013,23,3
Jay Foreman,NFL,LB,2013,37,3
Justin Forsett,NFL,RB,2013,28,3
Brock Forsey,NFL,RB,2013,33,3
L.J. Fort,NFL,LB,2013,23,3
Matt Forte,NFL,RB,2013,28,3
Arian Foster,NFL,RB,2010,24,6
DeShaun Foster,NFL,RB,2010,30,6
Larry Foster,NFL,WR,2010,34,6
Mason Foster,NFL,LB,2010,21,6
Chris Francies,NFL,WR,2013,31,1
Carlos Francis,NFL,WR,2013,32,1
Robert Francois,NFL,LB,2013,28,1
Jerry Franklin,NFL,LB,2013,25,1
Johnathan Franklin,NFL,RB,2013,24,1
Keith Franklin,NFL,LB,2013,43,1
P.J. Franklin,NFL,WR,2013,36,1
Stephen Franklin,NFL,LB,2013,25,1
Will Franklin,NFL,WR,2013,28,1
Andre Frazier,NFL,LB,2013,31,1
Chris Fuamatu-Ma'afala,NFL,RB,2013,36,3
Scott Fujita,NFL,LB,2012,33,11
Jeff Garcia,NFL,QB,1988,18,2
Dave Garnett,NFL,LB,1988,18,2
Percell Gaskins,NFL,LB,2003,31,12
Michael Gasperson,NFL,WR,2003,21,12
Ben Gay,NFL,RB,2001,21,1
Trevor Gaylor,NFL,WR,2001,24,1
Joe Germaine,NFL,QB,1997,22,5
Jammi German,NFL,WR,1997,23,5
Reggie Germany,NFL,WR,1997,19,5
Sam Giguere,NFL,WR,2009,24,1
Tony Gilbert,NFL,LB,2013,34,6
Jason Gildon,NFL,LB,2013,41,6
Dondre Gilliam,NFL,WR,2013,36,6
Mike Gillislee,NFL,RB,2013,23,6
Bryan Gilmore,NFL,WR,2013,35,6
Stephon Gilmore,NFL,CB,2013,24,6
David Gilreath,NFL,WR,2013,25,6
Mardy Gilyard,NFL,WR,2013,27,6
Dan Giordano,NFL,LB,2013,24,1
Chris Givens,NFL,WR,2013,24,2
Chris Givens,NFL,WR,2013,24,2
David Givens,NFL,WR,2013,33,2
Reggie Givens,NFL,LB,2013,42,2
Chris Gizzi,NFL,LB,2001,26,2
Cody Glenn,NFL,LB,2006,20,7
Jason Glenn,NFL,LB,2006,27,7
Terry Glenn,NFL,WR,2006,32,7
Ian Gold,NFL,LB,2007,29,8
Brittan Golden,NFL,WR,2007,19,8
Jack Golden,NFL,LB,2007,30,8
Jeff Gooch,NFL,LB,2004,30,9
Brett Goode,NFL,LB,2004,20,9
Tavares Gooden,NFL,LB,2004,20,9
Herbert Goodman,NFL,RB,2004,27,9
Mike Goolsby,NFL,LB,2004,22,9
Elvis Grbac,NFL,QB,2001,31,8
Marrio Grier,NFL,RB,2001,30,1
Brian Griese,NFL,QB,2001,26,1
Damon Griffin,NFL,WR,2001,25,1
Kris Griffin,NFL,LB,2001,20,1
Quentin Griffin,NFL,RB,2001,20,1
Boomer Grigsby,NFL,LB,2001,20,1
Clif Groce,NFL,RB,2000,28,6
Matt Grootegoed,NFL,LB,2000,18,6
Rex Grossman,NFL,QB,2000,20,6
Derek Hagan,NFL,WR,2012,28,7
Marques Hagans,NFL,WR,2012,30,7
Mario Haggan,NFL,LB,2012,32,7
Clark Haggans,NFL,LB,2012,35,7
Johnathan Haggerty,NFL,WR,2012,24,7
Tyjuan Hagler,NFL,LB,2012,31,7
Az-Zahir Hakim,NFL,WR,2006,29,9
Ahmard Hall,NFL,RB,1999,20,4
Andy Hall,NFL,QB,1999,19,4
Dante Hall,NFL,WR,1999,21,4
Lemanski Hall,NFL,LB,1999,29,4
Tim Hall,NFL,RB,1999,25,4
Ty Hallock,NFL,RB,1999,28,4
Darren Hambrick,NFL,LB,2001,26,2
Troy Hambrick,NFL,RB,2001,25,2
Gibran Hamdan,NFL,QB,2001,20,2
Derrick Hamilton,NFL,WR,2001,20,2
James Hamilton,NFL,LB,2001,27,2
Joe Hamilton,NFL,QB,2001,24,2
Justin Hamilton,NFL,RB,2001,19,2
Lawrence Hamilton,NFL,WR,2001,21,2
Malcolm Hamilton,NFL,LB,2001,29,2
Michael Hamilton,NFL,LB,2001,28,2
Rick Hamilton,NFL,LB,2001,31,2
Ruffin Hamilton,NFL,LB,2001,30,2
Montario Hardesty,NFL,RB,2013,26,8
James Hardy,NFL,WR,2013,28,8
Kevin Hardy,NFL,LB,2013,40,8
Chandler Harnish,NFL,QB,2013,25,8
Chris Harper,NFL,WR,2013,24,8
Jamie Harper,NFL,RB,2013,24,8
Justin Harper,NFL,WR,2013,28,8
Gary Harrell,NFL,WR,2013,41,8
Graham Harrell,NFL,QB,2013,28,8
Joey Harrington,NFL,QB,2013,35,8
Anthony Harris,NFL,LB,2013,40,8
Arlen Harris,NFL,RB,2013,33,8
Atnaf Harris,NFL,WR,2013,34,8
Bernardo Harris,NFL,LB,2013,42,8
Chris Harris,NFL,CB,2013,24,8
David Harris,NFL,LB,2013,29,8
Derrick Harris,NFL,RB,2013,41,8
DuJuan Harris,NFL,RB,2013,25,8
Dwayne Harris,NFL,WR,2013,26,8
Gilbert Harris,NFL,RB,2013,29,8
Jerrell Harris,NFL,LB,2013,24,8
Joey Harris,NFL,RB,2013,33,8
Kay-Jay Harris,NFL,RB,2013,34,8
Marcus Harris,NFL,WR,2013,24,8
Mark Harris,NFL,WR,2013,43,8
Marques Harris,NFL,LB,2013,32,8
Mike Harris,NFL,CB,2013,25,8
Napoleon Harris,NFL,LB,2013,34,8
Nate Harris,NFL,LB,2013,30,8
Nic Harris,NFL,LB,2013,27,8
Raymont Harris,NFL,RB,2013,43,8
Ronnie Harris,NFL,WR,2013,43,8
Rudy Harris,NFL,RB,2013,42,8
Sean Harris,NFL,LB,2013,41,8
Arnold Harrison,NFL,LB,2013,31,8
James Harrison,NFL,LB,2013,35,8
Jerome Harrison,NFL,RB,2013,30,8
Kevin Harrison,NFL,LB,2013,32,8
Mark Harrison,NFL,WR,2013,23,8
Marvin Harrison,NFL,WR,2013,41,8
Tyreo Harrison,NFL,LB,2013,33,8
Mike Hart,NFL,RB,2013,27,8
Brian Hartline,NFL,WR,2013,27,8
Mark Hartsell,NFL,QB,2013,40,8
Ed Hartwell,NFL,LB,2013,35,8
Frank Harvey,NFL,RB,2013,42,8
Mario Harvey,NFL,LB,2013,26,8
Percy Harvin,NFL,WR,2013,25,8
Matthew Hatchette,NFL,WR,2003,29,1
A.J. Hawk,NFL,LB,2013,29,8
Michael Hawkes,NFL,LB,2013,36,8
Andrew Hawkins,NFL,WR,2013,27,8
Chris Hawkins,NFL,CB,2013,27,8
Lavelle Hawkins,NFL,WR,2013,27,8
Steve Hawkins,NFL,WR,2013,42,8
David Hawthorne,NFL,LB,2013,28,8
Aaron Hayden,NFL,RB,2012,39,1
D.J. Hayden,NFL,CB,2012,22,1
Donald Hayes,NFL,WR,2012,37,1
Geno Hayes,NFL,LB,2012,25,1
Gerald Hayes,NFL,LB,2012,32,1
Mercury Hayes,NFL,WR,2012,39,1
Windrell Hayes,NFL,WR,2012,36,1
Herb Haygood,NFL,WR,2012,35,1
Alex Haynes,NFL,RB,2012,30,1
Verron Haynes,NFL,RB,2012,33,1
Adam Hayward,NFL,LB,2012,28,1
Paul Hazel,NFL,LB,2013,23,1
Vidal Hazelton,NFL,WR,2013,25,1
Vaughn Hebron,NFL,RB,1996,26,12
Junior Hemingway,NFL,WR,2013,25,2
Nate Hemsley,NFL,LB,2013,39,2
Darrius Heyward-Bey,NFL,WR,2011,24,5
Darrell Hill,NFL,WR,2002,23,2
Greg Hill,NFL,RB,2002,30,2
Jeff Hill,NFL,WR,2002,30,2
Kahlil Hill,NFL,WR,2002,23,2
LeRoy Hill,NFL,LB,2002,20,2
Madre Hill,NFL,RB,2002,26,2
Shaun Hill,NFL,QB,2002,22,2
Hunter Hillenmeyer,NFL,LB,2002,22,2
Ike Hilliard,NFL,WR,2002,26,2
Lex Hilliard,NFL,RB,2002,18,2
Chris Hogan,NFL,WR,2011,23,1
Doug Hogue,NFL,LB,2011,22,1
Kelly Holcomb,NFL,QB,2012,39,2
Robert Holcombe,NFL,RB,2012,37,2
Curtis Holden,NFL,LB,2012,33,2
Warrick Holdman,NFL,LB,2012,37,2
John Holecek,NFL,LB,2012,40,2
Carlyle Holiday,NFL,WR,2012,31,2
Joe Holland,NFL,LB,2012,24,2
Jonathan Holland,NFL,WR,2012,27,2
Jesse Holley,NFL,WR,2012,28,2
Corey Holliday,NFL,WR,2012,41,2
Marcus Holliday,NFL,RB,2012,39,2
Trindon Holliday,NFL,WR,2012,26,2
Tony Hollings,NFL,RB,2012,31,2
Lamont Hollinquest,NFL,LB,2012,42,2
T.J. Hollowell,NFL,LB,2012,31,2
Rob Holmberg,NFL,LB,2012,41,2
Andre Holmes,NFL,WR,2012,24,2
Darick Holmes,NFL,RB,2012,41,2
Earl Holmes,NFL,LB,2012,39,2
Mike Holmes,NFL,CB,2012,23,2
Priest Holmes,NFL,RB,2012,39,2
Santonio Holmes,NFL,WR,2012,28,2
Glenn Holt,NFL,WR,2012,28,2
James Holt,NFL,LB,2012,26,2
Torry Holt,NFL,WR,2012,36,2
Chris Horn,NFL,WR,1999,22,16
Joe Horn,NFL,WR,1999,27,16
Tony Horne,NFL,WR,1999,23,16
Brock Huard,NFL,QB,2003,27,4
Damon Huard,NFL,QB,2003,30,4
Ramon Humber,NFL,LB,2013,26,5
Deon Humphrey,NFL,LB,2013,37,5
James Hundon,NFL,WR,1999,28,4
Brice Hunter,NFL,WR,1999,25,4
Dameon Hunter,NFL,RB,1999,20,4
Earnest Hunter,NFL,RB,1999,29,4
Javin Hunter,NFL,WR,1999,19,4
Richard Huntley,NFL,RB,1999,27,4
Todd Husak,NFL,QB,2000,22,1
Randy Hymes,NFL,WR,2005,26,4
Dou Innocent,NFL,RB,1996,24,1
Trevor Insley,NFL,WR,2001,24,1
Darwin Ireland,NFL,LB,1995,24,2
Qadry Ismail,NFL,WR,2002,32,10
John Ivlow,NFL,RB,1993,23,1
Mortty Ivy,NFL,LB,2009,23,9
Brian Iwuh,NFL,LB,2011,27,6
Larry Izzo,NFL,LB,2009,35,14
Brad Jackson,NFL,LB,1994,19,1
Chris Jackson,NFL,WR,1994,19,1
Curtis Jackson,NFL,WR,1994,21,1
Jack Jackson,NFL,WR,1994,22,1
James Jackson,NFL,RB,1994,18,1
Willie Jackson,NFL,WR,1994,23,1
Ray Jacobs,NFL,LB,1994,22,1
Nate Jacquet,NFL,WR,1994,19,1
Lestar Jean,NFL,WR,2013,25,3
Rashad Jeanty,NFL,LB,2013,30,3
Patrick Jeffers,NFL,WR,1997,24,15
Kevin Jefferson,NFL,LB,1997,23,15
Brandon Joiner,NFL,LB,2013,24,1
Akeem Jordan,NFL,LB,2013,28,7
Antony Jordan,NFL,LB,2013,39,7
James Jordan,NFL,WR,2013,35,7
Kevin Jordan,NFL,WR,2013,41,7
LaMont Jordan,NFL,RB,2013,35,7
Randy Jordan,NFL,RB,2013,43,7
Richard Jordan,NFL,LB,2013,39,7
Alex Joseph,NFL,LB,2010,22,1
Elijah Joseph,NFL,LB,2010,22,1
Elvis Joseph,NFL,RB,2010,32,1
Keith Joseph,NFL,RB,2010,29,1
Steve Josue,NFL,LB,2010,30,1
Yonel Jourdain,NFL,RB,1995,24,2
Cato June,NFL,LB,2009,30,7
Joe Jurevicius,NFL,WR,2007,33,10
Kevin Jurovich,NFL,WR,2007,21,10
Josh Kaddu,NFL,LB,2013,23,2
Colin Kaepernick,NFL,QB,2012,25,9
Kevin Kasper,NFL,WR,2013,36,1
Brad Kassell,NFL,LB,2013,33,1
Napoleon Kaufman,NFL,RB,1993,20,12
Muadianvita Kazadi,NFL,LB,1997,24,1
Stanford Keglar,NFL,LB,2010,25,3
Bryan Kehl,NFL,LB,2013,29,6
Freddie Keiaho,NFL,LB,2009,27,4
Kenton Keith,NFL,RB,2009,29,4
Jeff Kelly,NFL,LB,2013,38,3
Jeff Kelly,NFL,QB,2013,34,3
Malcolm Kelly,NFL,WR,2013,27,3
Todd Kelly,NFL,LB,2013,43,3
Chad Kelsay,NFL,LB,2013,36,3
Eric Kettani,NFL,RB,2012,25,1
Kelvin Kight,NFL,WR,2001,19,3
Terry Kirby,NFL,RB,2000,30,1
David Kircus,NFL,WR,2000,20,1
Jon Kitna,NFL,QB,2013,41,2
Kurt Kittner,NFL,QB,2013,33,2
Jim Kitts,NFL,RB,2013,41,2
Perry Klein,NFL,QB,2008,37,6
Jeff Kopp,NFL,LB,2012,41,2
Niko Koutouvides,NFL,LB,2012,31,9
Clint Kriewaldt,NFL,LB,1998,22,19
Ryan LaCasse,NFL,LB,2006,23,1
Sean LaChapelle,NFL,WR,2006,36,1
Anthony Ladd,NFL,WR,1998,25,1
Eric Lane,NFL,RB,1997,23,11
Fred Lane,NFL,RB,1997,22,11
Amp Lee,NFL,RB,2000,29,9
Charles Lee,NFL,WR,2000,23,9
Kevin Lee,NFL,WR,2000,29,9
ReShard Lee,NFL,RB,2000,20,9
Burnie Legette,NFL,RB,1994,24,2
Teddy Lehman,NFL,LB,2008,27,6
Ashley Lelie,NFL,WR,2008,28,7
Phillip Livas,NFL,WR,2011,22,1
Brandon Lloyd,NFL,WR,2012,31,10
Greg Lloyd,NFL,LB,2012,23,10
Jake Locker,NFL,QB,2013,25,1
Kevin Lockett,NFL,WR,2013,39,1
Ricardo Lockette,NFL,WR,2013,24,1
Michael Lockley,NFL,LB,2013,25,1
Curtis Lofton,NFL,LB,2013,27,6
Shawn Loiseau,NFL,LB,2012,23,1
Antonio London,NFL,LB,1998,27,6
Michael Lowery,NFL,LB,1996,22,12
Chad Lucas,NFL,WR,2001,20,2
Ray Lucas,NFL,QB,2001,29,2
Eric Lynch,NFL,RB,2002,32,4
James Lynch,NFL,RB,2002,20,4
Matt Lytle,NFL,QB,2001,26,2
Reno Mahe,NFL,RB,2011,31,1
Kaluka Maiava,NFL,LB,2013,26,5
Marcus Mailei,NFL,RB,2013,27,5
Wesly Mallard,NFL,LB,1999,21,8
Ryan Manalac,NFL,LB,2009,24,1
Maurice Mann,NFL,WR,2009,27,1
Brian Manning,NFL,WR,2009,34,1
Eli Manning,NFL,QB,2009,28,1
Peyton Manning,NFL,QB,2009,33,1
Roy Manning,NFL,LB,2009,28,1
Mario Manningham,NFL,WR,2009,23,1
EJ Manuel,NFL,QB,2009,19,1
Owen Marecic,NFL,RB,2013,25,4
Marc Mariani,NFL,WR,2013,26,4
Laurence Maroney,NFL,RB,2013,28,4
Curtis Marsh,NFL,WR,2013,43,4
Brandon Marshall,NFL,WR,2013,29,4
Lemar Marshall,NFL,LB,2013,37,4
Marvin Marshall,NFL,WR,2013,41,4
Rasheed Marshall,NFL,WR,2013,32,4
Torrance Marshall,NFL,LB,2013,36,4
Whit Marshall,NFL,LB,2013,40,4
Charly Martin,NFL,WR,2013,29,4
Curtis Martin,NFL,RB,2013,40,4
Doug Martin,NFL,RB,2013,24,4
Eric Martin,NFL,LB,2013,22,4
Ingle Martin,NFL,QB,2013,31,4
Jamie Martin,NFL,QB,2013,43,4
Josh Martin,NFL,LB,2013,22,4
Keshawn Martin,NFL,WR,2013,23,4
Ruvell Martin,NFL,WR,2013,31,4
Tee Martin,NFL,QB,2013,35,4
Glenn Martinez,NFL,WR,2013,32,4
Mike Maslowski,NFL,LB,2013,39,2
Derrick Mason,NFL,WR,2013,39,2
Eddie Mason,NFL,LB,2013,41,2
