player_ID,sport,position,start_year,start_age,years_played
Shane Battier,NBA,F,2002,40,13
John Battle,NBA,G,1986,22,10
Kenny Battle,NBA,F,1990,34,4
Dave Batton,NBA,C,1983,32,2
Johnny Baum,NBA,F,1970,52,5
Elgin Baylor,NBA,F,1959,17,14
Aron Baynes,NBA,C,2013,48,6
Al Beard,NBA,C,1968,21,1
Butch Beard,NBA,G,1970,43,10
Malik Beasley,NBA,G,2017,28,2
Ernie Beck,NBA,multi,1954,12,8
Arthur Becker,NBA,F,1968,51,6
Ron Behagen,NBA,multi,1974,45,7
Marco Belinelli,NBA,multi,2008,29,11
Jordan Bell,NBA,F,2018,42,1
Raja Bell,NBA,G,2001,21,12
Whitey Bell,NBA,G,1960,21,2
Dragan Bender,NBA,F,2017,36,2
Jonathan Bender,NBA,F,2000,9,11
Jerrelle Benimon,NBA,F,2015,51,1
Benoit Benjamin,NBA,C,1986,8,15
Anthony Bennett,NBA,F,2014,44,4
Elmer Bennett,NBA,G,1995,22,3
Mario Bennett,NBA,F,1996,41,5
Mel Bennett,NBA,F,1976,33,7
Tony Bennett,NBA,G,1993,28,3
Winston Bennett,NBA,F,1990,22,3
Keith Benson,NBA,C,2012,58,1
Ricky Berry,NBA,F,1989,25,1
Patrick Beverley,NBA,G,2013,21,6
Wesley Bialosuknia,NBA,G,1968,36,1
Al Bianchi,NBA,G,1957,35,10
Lionel Billingy,NBA,multi,1975,32,1
Chauncey Billups,NBA,G,1998,37,17
Bismack Biyombo,NBA,multi,2012,50,7
Uwe Blab,NBA,C,1986,29,5
Norman Black,NBA,G,1981,40,1
Tarik Black,NBA,multi,2015,56,4
Rolando Blackman,NBA,G,1982,19,13
Alex Blackwell,NBA,F,1993,25,1
Cory Blackwell,NBA,F,1985,20,1
DeJuan Blair,NBA,multi,2010,14,7
Steve Blake,NBA,G,2004,21,13
Will Blalock,NBA,G,2007,41,1
Ricky Blanton,NBA,F,1993,26,1
Andray Blatche,NBA,F,2006,17,9
Leon Blevins,NBA,G,1951,36,1
Mark Blount,NBA,C,2001,43,9
Nelson Bobb,NBA,G,1950,17,4
Keith Bogans,NBA,multi,2004,15,11
Bogdan Bogdanovic,NBA,G,2018,53,1
Bojan Bogdanovic,NBA,multi,2015,31,4
Muggsy Bogues,NBA,G,1988,15,14
Andrew Bogut,NBA,C,2006,44,13
Bill Bolger,NBA,F,1954,23,1
Walter Bond,NBA,G,1993,51,3
Dexter Boney,NBA,G,1997,29,1
Anthony Bonner,NBA,F,1991,46,6
Matt Bonner,NBA,F,2005,9,12
Devin Booker,NBA,G,2016,29,3
Josh Boone,NBA,multi,2007,31,4
Curtis Borchardt,NBA,C,2004,32,2
Jake Bornheimer,NBA,multi,1949,25,2
Jim Bostic,NBA,F,1978,25,1
Tom Boswell,NBA,multi,1976,51,9
Ruben Boumtje-Boumtje,NBA,C,2002,25,3
Cal Bowdler,NBA,F,2000,25,3
Ryan Bowen,NBA,F,2000,37,11
Anthony Bowie,NBA,multi,1989,50,10
Sam Bowie,NBA,multi,1985,12,11
Orbie Bowling,NBA,C,1968,25,1
Ira Bowman,NBA,G,2000,27,3
Donnie Boyce,NBA,G,1996,46,2
Dennis Boyd,NBA,G,1979,27,1
Ken Boyd,NBA,F,1975,53,1
Earl Boykins,NBA,G,1999,42,14
Winford Boynes,NBA,multi,1979,29,3
Cedric Bozeman,NBA,G,2007,20,1
Steve Bracey,NBA,G,1973,31,3
Craig Brackins,NBA,F,2011,52,2
Alonzo Bradley,NBA,F,1978,37,3
Bill Bradley,NBA,multi,1968,11,10
Charles Bradley,NBA,G,1982,30,3
Shawn Bradley,NBA,C,1994,26,12
Tony Bradley,NBA,multi,2018,48,1
Mark Bradtke,NBA,multi,1997,21,1
Marques Bragg,NBA,F,1996,19,1
Torraye Braggs,NBA,F,2004,41,2
A.J. Bramlett,NBA,C,2000,21,1
Adrian Branch,NBA,multi,1987,17,4
Terrell Brandon,NBA,G,1992,34,11
Brad Branson,NBA,multi,1982,51,2
Jim Brasco,NBA,G,1953,26,1
Jamison Brewer,NBA,G,2002,47,4
Primoz Brezec,NBA,C,2002,43,9
Frank Brickowski,NBA,multi,1985,46,13
Bill Bridges,NBA,multi,1963,40,13
John Brisker,NBA,multi,1970,26,6
Allan Bristow,NBA,multi,1974,22,10
Wayman Britt,NBA,G,1978,20,1
Dave Britton,NBA,G,1981,23,1
Jon Brockman,NBA,F,2010,18,3
Jim Brogan,NBA,G,1982,28,2
Aaron Brooks,NBA,G,2008,19,11
Kevin Brooks,NBA,F,1992,27,3
MarShon Brooks,NBA,multi,2012,31,3
Andre Brown,NBA,F,2007,23,3
Anthony Brown,NBA,multi,2016,48,2
Chucky Brown,NBA,F,1990,22,13
Damone Brown,NBA,F,2002,18,4
Dee Brown,NBA,G,1991,13,12
Ernest Brown,NBA,C,2002,27,1
Jabari Brown,NBA,G,2015,34,1
Jaylen Brown,NBA,multi,2017,35,2
John Brown,NBA,F,1974,34,7
Kwame Brown,NBA,F,2002,47,12
Lorenzo Brown,NBA,G,2014,51,5
Marcus Brown,NBA,G,1997,28,4
Markel Brown,NBA,G,2015,46,2
Mike Brown,NBA,multi,1987,19,11
Myron Brown,NBA,G,1992,27,1
P.J. Brown,NBA,multi,1994,36,15
Raymond Brown,NBA,F,1990,40,1
Roger Brown,NBA,multi,1968,39,8
Shannon Brown,NBA,G,2007,28,9
Tierre Brown,NBA,G,2002,35,4
Tony Brown,NBA,multi,1985,40,8
George Bruns,NBA,G,1973,35,1
Rick Brunson,NBA,G,1998,44,9
Nicolas Brussino,NBA,multi,2017,39,2
Kobe Bryant,NBA,multi,1997,38,20
Mark Bryant,NBA,multi,1989,25,15
Wallace Bryant,NBA,C,1984,47,3
Torgeir Bryn,NBA,C,1990,24,1
George Bucci,NBA,G,1976,38,1
Steve Bucknall,NBA,G,1990,36,1
Cleveland Buckner,NBA,multi,1962,24,2
Greg Buckner,NBA,G,2000,12,10
Chase Budinger,NBA,F,2010,33,7
Matt Bullard,NBA,F,1991,35,12
Larry Bunce,NBA,C,1968,26,2
Greg Bunch,NBA,F,1979,32,1
Ticky Burden,NBA,G,1976,18,3
Trey Burke,NBA,G,2014,34,4
Kevin Burleson,NBA,G,2006,48,1
Junior Burrough,NBA,F,1996,28,1
Willie Burton,NBA,multi,1991,42,9
Steve Burtt,NBA,G,1985,49,9
Don Buse,NBA,G,1973,35,13
Caron Butler,NBA,F,2003,14,14
Greg Butler,NBA,C,1989,43,3
Jackie Butler,NBA,multi,2005,35,3
Jimmy Butler,NBA,multi,2012,33,7
Mitchell Butler,NBA,multi,1994,10,11
Rasual Butler,NBA,multi,2003,16,14
Dwight Buycks,NBA,G,2014,31,2
Derrick Byars,NBA,F,2012,56,1
