player_ID,sport,position,retire_year,retire_age,years_played
Maurice Carter,NBA,2,2004,13,1
Reggie Carter,NBA,2,1982,25,2
Ron Carter,NBA,2,1980,39,2
Vince Carter,NBA,0,2018,24,20
Michael Carter-Williams,NBA,2,2018,66,5
Bill Cartwright,NBA,1,1995,45,16
Jay Carty,NBA,3,1969,0,1
Alex Caruso,NBA,2,2018,30,1
Cornelius Cash,NBA,3,1977,26,1
Sam Cash,NBA,3,1973,10,1
Sam Cassell,NBA,2,2008,60,15
Omri Casspi,NBA,3,2018,44,9
Harvey Catchings,NBA,0,1985,27,11
Terry Catledge,NBA,3,1993,0,8
Sid Catlett,NBA,3,1972,4,1
Kelvin Cato,NBA,1,2007,13,10
Bobby Cattage,NBA,3,1986,27,5
Willie Cauley-Stein,NBA,0,2018,49,3
Duane Causwell,NBA,1,2001,24,11
Tyler Cavanaugh,NBA,3,2018,101,1
Ron Cavenall,NBA,1,1989,9,5
Cedric Ceballos,NBA,3,2001,15,11
John Celestand,NBA,2,2000,51,1
Al Cervi,NBA,0,1953,17,4
Lionel Chalmers,NBA,2,2005,62,1
Mario Chalmers,NBA,2,2018,59,10
Bill Chamberlain,NBA,3,1974,10,2
Wilt Chamberlain,NBA,1,1973,-9,14
Jerry Chambers,NBA,3,1974,-13,8
Tom Chambers,NBA,0,1998,52,17
Mike Champion,NBA,3,1989,69,1
Tyson Chandler,NBA,1,2018,51,17
Wilson Chandler,NBA,3,2018,73,11
Don Chaney,NBA,2,1980,39,12
John Chaney,NBA,0,1950,-1,1
Rex Chapman,NBA,2,2000,37,12
Wayne Chapman,NBA,0,1972,1,4
Len Chappell,NBA,0,1972,16,10
Ken Charles,NBA,2,1978,28,5
Lorenzo Charles,NBA,3,1986,-5,1
Calbert Cheaney,NBA,0,2006,39,13
Maurice Cheeks,NBA,2,1993,25,15
Phil Chenier,NBA,2,1981,-2,10
Will Cherry,NBA,2,2015,43,1
Derrick Chievous,NBA,3,1991,24,3
Pete Chilcutt,NBA,0,2000,75,9
Josh Childress,NBA,0,2014,65,10
Randolph Childress,NBA,2,1997,0,2
Chris Childs,NBA,2,2003,73,9
Leroy Chollet,NBA,3,1951,24,2
Jim Chones,NBA,0,1982,36,10
Marquese Chriss,NBA,3,2018,48,2
Fred Christ,NBA,2,1955,-31,1
Cal Christensen,NBA,0,1955,-36,5
Bob Christian,NBA,1,1974,-18,5
Doug Christie,NBA,0,2007,19,15
Dionte Christmas,NBA,2,2014,70,1
Rakeem Christmas,NBA,3,2017,45,2
Semaj Christon,NBA,2,2017,76,1
Patrick Christopher,NBA,0,2015,55,1
Stephen Chubin,NBA,2,1970,-18,3
Robert Churchwell,NBA,0,1996,5,1
Archie Clark,NBA,2,1976,1,10
Carlos Clark,NBA,2,1985,41,2
Earl Clark,NBA,3,2015,23,6
Ian Clark,NBA,2,2018,26,5
Keon Clark,NBA,0,2004,11,6
Richard Clark,NBA,2,1969,-19,2
Coty Clarke,NBA,3,2016,72,1
Jordan Clarkson,NBA,2,2018,48,4
Gian Clavell,NBA,2,2018,40,1
Victor Claver,NBA,3,2015,66,3
John Clawson,NBA,3,1969,-8,1
Charles Claxton,NBA,1,1996,53,1
Speedy Claxton,NBA,2,2009,15,8
Jim Cleamons,NBA,2,1980,58,9
Mateen Cleaves,NBA,2,2006,84,6
Barry Clemens,NBA,3,1976,0,11
Antonius Cleveland,NBA,2,2018,98,1
Nat Clifton,NBA,0,1958,41,8
Bill Closs,NBA,0,1952,1,3
Keith Closs,NBA,1,2000,35,3
Paul Cloyd,NBA,0,1950,-12,1
Bob Cluggish,NBA,1,1947,-24,1
Ben Clyde,NBA,3,1975,-13,1
Richard Coffey,NBA,3,1991,30,1
Fred Cofield,NBA,2,1987,20,2
John Coker,NBA,1,2001,51,6
Norris Cole,NBA,2,2017,93,6
Ben Coleman,NBA,3,1994,33,8
Derrick Coleman,NBA,3,2005,37,15
E.C. Coleman,NBA,3,1979,2,6
Jack Coleman,NBA,0,1958,4,9
Norris Coleman,NBA,3,1988,30,1
Bimbo Coles,NBA,2,2004,53,14
Jason Collier,NBA,1,2005,32,5
Art Collins,NBA,2,1981,3,1
Don Collins,NBA,0,1987,9,7
Doug Collins,NBA,0,1981,35,8
James Collins,NBA,2,1998,1,1
Jarron Collins,NBA,0,2011,27,10
Jason Collins,NBA,1,2014,27,13
Jimmy Collins,NBA,2,1972,-25,2
John Collins,NBA,3,2018,27,1
Mardy Collins,NBA,2,2010,23,4
Sherron Collins,NBA,2,2011,31,1
Zach Collins,NBA,0,2018,94,1
Kyle Collinsworth,NBA,0,2018,43,1
Darren Collison,NBA,2,2018,56,9
Nick Collison,NBA,3,2018,72,14
Joe Colone,NBA,3,1949,-12,1
Sean Colson,NBA,2,2001,58,1
Steve Colter,NBA,2,1995,31,11
Glen Combs,NBA,2,1975,36,7
Leroy Combs,NBA,3,1984,41,1
John Comeaux,NBA,3,1968,38,1
Dallas Comegys,NBA,3,1989,45,2
Larry Comley,NBA,2,1964,-23,1
Jeffrey Congdon,NBA,2,1972,39,5
Gene Conley,NBA,0,1964,-4,12
Larry Conley,NBA,2,1968,-25,1
Mike Conley,NBA,2,2018,65,11
Ed Conlin,NBA,0,1962,3,7
Marty Conlon,NBA,0,2000,79,9
Pat Connaughton,NBA,2,2018,36,3
Jimmy Conner,NBA,2,1976,9,1
Lester Conner,NBA,2,1995,66,13
Chuck Connors,NBA,0,1948,25,2
Will Conroy,NBA,2,2013,33,7
Anthony Cook,NBA,0,1996,9,6
Bert Cook,NBA,0,1955,-3,1
Bobby Cook,NBA,0,1950,-6,1
Brian Cook,NBA,3,2012,57,9
Daequan Cook,NBA,2,2013,31,6
Darwin Cook,NBA,2,1989,-4,9
Jeff Cook,NBA,0,1988,-6,9
Norm Cook,NBA,3,1978,15,2
Omar Cook,NBA,2,2005,57,2
Quinn Cook,NBA,2,2018,27,2
Charles Cooke,NBA,2,2018,92,1
David Cooke,NBA,3,1986,17,1
Joe Cooke,NBA,2,1971,14,1
Jack Cooley,NBA,0,2018,62,4
Chuck Cooper,NBA,3,1956,0,6
Duane Cooper,NBA,2,1994,30,2
Joe Cooper,NBA,0,1985,1,4
Michael Cooper,NBA,0,1990,35,12
Wayne Cooper,NBA,0,1992,27,14
Tom Copa,NBA,1,1992,30,1
Chris Copeland,NBA,3,2016,48,4
Hollis Copeland,NBA,3,1982,54,3
Lanard Copeland,NBA,2,1992,36,3
Tyrone Corbin,NBA,0,2001,70,16
Chris Corchiani,NBA,2,1994,1,3
,NBA,,nan,nan,nan
Ray Corley,NBA,2,1953,29,4
Dave Corzine,NBA,1,1991,16,13
Larry Costello,NBA,2,1968,17,14
Matt Costello,NBA,3,2018,77,1
Bryce Cotton,NBA,2,2016,74,2
Jack Cotton,NBA,0,1950,-19,1
James Cotton,NBA,2,1999,13,2
John Coughran,NBA,3,1980,-10,1
Mel Counts,NBA,0,1976,48,12
Steve Courtin,NBA,2,1965,-25,1
Joe Courtney,NBA,3,1997,49,5
Marcus Cousin,NBA,1,2011,56,1
DeMarcus Cousins,NBA,0,2018,82,8
Bob Cousy,NBA,2,1970,15,20
Robert Covington,NBA,3,2018,26,5
Dave Cowens,NBA,0,1983,-7,13
Chubby Cox,NBA,2,1983,8,1
Johnny Cox,NBA,2,1963,22,1
Wesley Cox,NBA,3,1979,-1,2
Allen Crabbe,NBA,0,2018,32,5
Torrey Craig,NBA,0,2018,30,1
Chris Crawford,NBA,3,2004,54,7
Freddie Crawford,NBA,0,1971,13,5
Jamal Crawford,NBA,2,2018,95,18
Joe Crawford,NBA,3,2009,30,1
Jordan Crawford,NBA,2,2018,70,8
Jim Creighton,NBA,3,1976,30,1
Ron Crevier,NBA,1,1986,21,1
Hal Crisler,NBA,3,1947,-40,1
Joe Crispin,NBA,2,2002,77,1
Charlie Criss,NBA,2,1985,39,8
Russell Critchfield,NBA,2,1969,14,1
Winston Crite,NBA,3,1989,32,2
Javaris Crittenton,NBA,2,2009,34,2
Dillard Crocker,NBA,0,1953,-8,5
Bobby Croft,NBA,1,1971,23,1
Geoff Crompton,NBA,1,1984,23,6
Terry Crosby,NBA,2,1980,57,1
Austin Croshere,NBA,3,2009,40,12
Jeff Cross,NBA,3,1986,46,1
Pete Cross,NBA,0,1973,19,3
Russell Cross,NBA,1,1984,15,1
Chink Crossin,NBA,2,1950,-40,3
John Crotty,NBA,2,2003,57,11
Bill Crow,NBA,2,1968,12,1
Mark Crow,NBA,3,1978,17,1
Corey Crowder,NBA,0,1995,19,4
Jae Crowder,NBA,3,2018,75,6
Al Cueto,NBA,0,1971,-16,2
Pat Cummings,NBA,0,1991,45,12
Terry Cummings,NBA,3,2000,9,18
Vonteego Cummings,NBA,2,2002,28,3
Billy Cunningham,NBA,0,1976,11,11
Dante Cunningham,NBA,3,2018,99,9
Dick Cunningham,NBA,1,1975,18,7
Jared Cunningham,NBA,2,2016,44,4
William Cunningham,NBA,1,1999,77,2
Radisav Curcic,NBA,1,1993,29,1
Armand Cure,NBA,3,1947,-35,1
Earl Cureton,NBA,0,1997,11,17
Bill Curley,NBA,3,2001,33,7
Fran Curran,NBA,2,1950,-40,2
Dell Curry,NBA,2,2002,14,16
Eddy Curry,NBA,1,2013,43,12
JamesOn Curry,NBA,2,2010,59,1
Michael Curry,NBA,0,2005,63,12
Seth Curry,NBA,2,2017,91,4
Stephen Curry,NBA,2,2018,57,9
Rastko Cvetkovic,NBA,1,1996,15,1
Mike D'Antoni,NBA,2,1977,55,4
Mike Dabich,NBA,1,1968,-7,1
Ed Dahler,NBA,3,1952,8,1
Quintin Dailey,NBA,2,1992,45,10
Samuel Dalembert,NBA,1,2015,40,14
Howie Dallmar,NBA,3,1949,-33,3
Erick Dampier,NBA,1,2012,45,16
Louie Dampier,NBA,2,1979,-2,12
Bob Dandridge,NBA,0,1982,38,13
Antonio Daniels,NBA,2,2011,20,14
Erik Daniels,NBA,3,2005,35,1
Lloyd Daniels,NBA,2,1998,42,6
Marquis Daniels,NBA,0,2013,83,10
Mel Daniels,NBA,1,1977,55,10
Troy Daniels,NBA,2,2018,74,5
Sasha Danilovic,NBA,2,1997,25,2
Adrian Dantley,NBA,0,1991,40,15
Pete Darcey,NBA,1,1953,0,1
Jimmy Darden,NBA,2,1950,13,1
Ollie Darden,NBA,0,1970,-17,3
Yinka Dare,NBA,1,1998,33,4
Jesse Dark,NBA,2,1975,4,1
Rick Darnell,NBA,0,1976,-8,1
Jimmy Darrow,NBA,2,1962,42,1
Luigi Datome,NBA,3,2015,24,2
Brad Daugherty,NBA,1,1994,1,8
,NBA,,nan,nan,nan
Kornel David,NBA,3,2001,80,3
Jermareo Davidson,NBA,3,2009,30,2
Bob Davies,NBA,0,1955,-17,7
Brandon Davies,NBA,3,2015,95,2
Anthony Davis,NBA,0,2018,68,6
Antonio Davis,NBA,0,2006,51,13
Aubrey Davis,NBA,0,1947,-23,1
Baron Davis,NBA,2,2012,54,13
Ben Davis,NBA,3,2000,51,4
Bill Davis,NBA,3,1947,-22,1
Bob Davis,NBA,3,1973,-23,1
Brad Davis,NBA,2,1992,43,15
Brian Davis,NBA,0,1994,5,1
Charles Davis,NBA,3,1990,22,9
Charlie Davis,NBA,2,1974,-12,3
Dale Davis,NBA,0,2007,51,16
Deyonta Davis,NBA,0,2018,48,2
Dwight Davis,NBA,3,1977,36,5
Ed Davis,NBA,3,2018,63,8
Emanual Davis,NBA,2,2003,23,7
Glen Davis,NBA,0,2015,70,8
Harry Davis,NBA,3,1980,17,2
Hubert Davis,NBA,2,2004,31,12
Jim Davis,NBA,0,1975,25,8
Johnny Davis,NBA,2,1986,36,10
Josh Davis,NBA,3,2012,66,9
Lee Davis,NBA,0,1976,20,8
Mark Davis,NBA,0,1989,31,1
Mark Davis,NBA,0,2000,16,5
Mel Davis,NBA,3,1977,39,4
Mickey Davis,NBA,0,1977,45,6
Mike Davis,NBA,2,1973,-6,4
Mike Davis,NBA,3,1983,29,1
Monti Davis,NBA,3,1981,14,1
Paul Davis,NBA,1,2010,79,4
Ralph Davis,NBA,2,1962,8,2
Red Davis,NBA,1,1956,13,1
Ricky Davis,NBA,2,2010,65,12
Ron Davis,NBA,0,1982,-9,6
Terry Davis,NBA,0,2001,44,12
Walt Davis,NBA,0,1958,-5,5
Walter Davis,NBA,0,1992,35,15
Warren Davis,NBA,0,1973,-20,6
Willie Davis,NBA,1,1971,-13,1
Andre Dawkins,NBA,2,2015,70,1
Darryl Dawkins,NBA,1,1989,22,14
Johnny Dawkins,NBA,2,1995,25,9
Paul Dawkins,NBA,3,1980,-8,1
Branden Dawson,NBA,3,2016,56,1
Eric Dawson,NBA,3,2012,25,1
Jimmy Dawson,NBA,2,1968,11,1
Tony Dawson,NBA,3,1995,49,5
Todd Day,NBA,0,2001,61,9
Austin Daye,NBA,3,2015,42,6
Darren Daye,NBA,0,1988,-1,5
Nando De Colo,NBA,2,2014,71,2
Greg Deane,NBA,2,1980,44,1
Billy DeAngelis,NBA,2,1971,0,1
Dave DeBusschere,NBA,0,1974,50,12
Andrew DeClercq,NBA,0,2005,13,10
Dewayne Dedmon,NBA,1,2018,24,5
Don Dee,NBA,3,1969,3,1
Archie Dees,NBA,0,1962,-27,4
Terry Dehere,NBA,2,1999,30,6
Red Dehnert,NBA,3,1947,-35,1
Bryce Dejean-Jones,NBA,2,2016,42,1
Sam Dekker,NBA,3,2018,28,3
Vinny Del Negro,NBA,2,2002,76,14
Malcolm Delaney,NBA,2,2018,52,2
Bison Dele,NBA,0,1999,42,8
Carlos Delfino,NBA,2,2013,43,9
Tony Delk,NBA,2,2006,77,10
Matthew Dellavedova,NBA,2,2018,33,5
Nate DeLong,NBA,1,1952,-6,1
Fennis Dembo,NBA,3,1989,59,1
Larry Demic,NBA,0,1982,-3,3
Dell Demps,NBA,2,1997,48,4
George Dempsey,NBA,2,1959,12,5
Luol Deng,NBA,3,2018,66,14
Kenny Dennard,NBA,3,1984,-5,3
Blaine Denning,NBA,2,1953,8,1
Justin Dentmon,NBA,2,2013,82,2
Randy Denton,NBA,1,1977,55,6
Joe DePre,NBA,2,1973,-2,3
Rod Derline,NBA,2,1976,-20,2
DeMar DeRozan,NBA,0,2018,36,9
Dave Deutsch,NBA,2,1967,-15,1
Corky Devlin,NBA,2,1958,-27,3
Hank DeZonie,NBA,0,1951,-27,1
Derrick Dial,NBA,2,2004,26,5
Cheick Diallo,NBA,3,2018,67,2
Boris Diaw,NBA,0,2017,42,14
Yakhouba Diawara,NBA,0,2010,59,4
Guillermo Diaz,NBA,2,2008,57,1
Dan Dickau,NBA,2,2008,82,6
Kaniel Dickens,NBA,3,2008,63,5
Henry Dickerson,NBA,2,1977,-5,2
Michael Dickerson,NBA,0,2003,13,5
Clyde Dickey,NBA,2,1975,39,1
Derrek Dickey,NBA,3,1978,30,5
Dick Dickey,NBA,2,1952,1,1
John Dickson,NBA,1,1968,24,1
Travis Diener,NBA,2,2010,61,5
Gorgui Dieng,NBA,1,2018,60,5
Connie Dierking,NBA,0,1971,54,13
Coby Dietrick,NBA,0,1983,59,13
Ernie DiGregorio,NBA,2,1978,11,5
Craig Dill,NBA,1,1968,18,1
Dwaine Dillard,NBA,3,1976,33,1
Mickey Dillard,NBA,2,1982,-11,1
Bob Dille,NBA,3,1947,-36,1
Hook Dillon,NBA,3,1950,-32,1
Byron Dinkins,NBA,2,1991,51,2
Jackie Dinkins,NBA,3,1972,43,1
,NBA,,nan,nan,nan
Bill Dinwiddie,NBA,3,1972,-6,5
Spencer Dinwiddie,NBA,2,2018,51,4
Ike Diogu,NBA,3,2012,88,7
DeSagana Diop,NBA,1,2013,36,12
Terry Dischinger,NBA,0,1973,46,11
Fred Diute,NBA,2,1955,36,1
Vlade Divac,NBA,1,2005,48,16
Juan Dixon,NBA,2,2009,83,7
Aleksandar Djordjevic,NBA,2,1997,32,1
Earl Dodd,NBA,3,1950,24,1
Michael Doleac,NBA,1,2008,28,10
Joe Dolhon,NBA,2,1951,-3,2
Bob Doll,NBA,0,1950,-33,4
James Donaldson,NBA,1,1995,47,15
Bob Donham,NBA,0,1954,-42,4
Billy Donovan,NBA,2,1988,-6,1
Harry Donovan,NBA,2,1950,-34,1
Keyon Dooling,NBA,2,2013,49,13
Jacky Dorsey,NBA,3,1981,25,4
Joey Dorsey,NBA,3,2015,61,7
Ron Dorsey,NBA,3,1972,6,1
Tyler Dorsey,NBA,2,2018,32,1
Damyean Dotson,NBA,2,2018,31,1
Quincy Douby,NBA,2,2009,64,3
Bruce Douglas,NBA,2,1987,38,1
John Douglas,NBA,2,1983,-1,2
Leon Douglas,NBA,0,1983,60,7
Sherman Douglas,NBA,2,2001,51,12
Toney Douglas,NBA,2,2017,77,8
Chris Douglas-Roberts,NBA,2,2015,49,7
Sonny Dove,NBA,3,1972,-14,5
Jerry Dover,NBA,2,1972,-17,1
Zabian Dowdell,NBA,2,2011,49,1
Bill Downey,NBA,1,1948,-26,1
Steve Downing,NBA,1,1975,21,2
Danny Doyle,NBA,3,1963,5,1
Terry Dozier,NBA,3,1990,0,1
Goran Dragic,NBA,2,2018,56,10
Zoran Dragic,NBA,0,2015,42,1
Greg Dreiling,NBA,1,1997,50,11
Bryce Drew,NBA,2,2004,29,6
John Drew,NBA,0,1985,31,11
Larry Drew,NBA,2,1991,-2,11
Larry Drew,NBA,2,2015,82,1
Clyde Drexler,NBA,2,1998,34,15
Nate Driggers,NBA,2,1997,47,1
Terry Driscoll,NBA,3,1975,10,5
Predrag Drobnjak,NBA,1,2005,20,4
Ralph Drollinger,NBA,1,1981,25,1
Andre Drummond,NBA,1,2018,96,6
Dick Duckett,NBA,2,1958,18,1
Kevin Duckworth,NBA,1,1997,15,11
Charles Dudley,NBA,2,1979,-12,7
Chris Dudley,NBA,1,2003,73,16
Jared Dudley,NBA,0,2018,55,11
Terry Duerod,NBA,2,1983,14,4
Bob Duffy,NBA,3,1947,-25,1
Bob Duffy,NBA,2,1965,43,3
Chris Duhon,NBA,2,2013,37,9
Duje Dukan,NBA,3,2016,62,1
Walter Dukes,NBA,1,1963,-17,8
Joe Dumars,NBA,2,1999,5,14
,NBA,,nan,nan,nan
Richard Dumas,NBA,3,1996,41,4
Tony Dumas,NBA,2,1998,17,4
Andy Duncan,NBA,0,1951,-37,3
Tim Duncan,NBA,0,2016,58,19
Mike Dunleavy,NBA,2,1990,41,14
Mike Dunleavy,NBA,0,2017,50,15
Kris Dunn,NBA,2,2018,58,2
Pat Dunn,NBA,2,1958,10,1
T.R. Dunn,NBA,0,1991,39,14
Ronald Dupree,NBA,3,2011,90,8
Kevin Durant,NBA,0,2018,59,11
John Duren,NBA,2,1983,53,3
Jarrett Durham,NBA,3,1972,-15,1
Pat Durham,NBA,3,1995,29,3
Devin Durrant,NBA,3,1986,40,2
Ken Durrett,NBA,3,1975,5,4
Dennis DuVal,NBA,2,1976,49,2
Jack Dwan,NBA,0,1949,-42,1
Craig Dykema,NBA,3,1982,39,1
Gene Dyker,NBA,3,1954,-3,1
Jerome Dyson,NBA,2,2012,53,1
Ledell Eackles,NBA,0,1998,9,10
Jim Eakins,NBA,1,1978,43,10
Acie Earl,NBA,0,1997,45,4
Ed Earle,NBA,3,1954,-30,1
Cleanthony Early,NBA,3,2016,65,2
Penny Early,NBA,2,1969,-22,1
Mark Eaton,NBA,1,1993,26,11
Jerry Eaves,NBA,2,1987,65,5
Devin Ebanks,NBA,3,2013,51,3
Bill Ebben,NBA,2,1958,8,1
Al Eberhard,NBA,3,1978,37,4
Ndudi Ebi,NBA,3,2005,45,2
Roy Ebron,NBA,1,1974,1,1
Jarell Eddie,NBA,0,2017,46,2
Patrick Eddie,NBA,1,1992,27,1
Dike Eddleman,NBA,0,1953,-26,4
Kenton Edelin,NBA,3,1985,14,1
Charles Edge,NBA,3,1975,16,2
Bobby Edmonds,NBA,3,1970,15,3
Keith Edmonson,NBA,2,1984,15,2
Tyus Edney,NBA,2,2001,20,6
Bill Edwards,NBA,3,1994,29,1
Blue Edwards,NBA,0,1999,12,10
Corsley Edwards,NBA,3,2005,66,1
Doug Edwards,NBA,3,1996,78,3
Franklin Edwards,NBA,2,1988,65,7
James Edwards,NBA,0,1996,35,19
Jay Edwards,NBA,2,1990,57,1
John Edwards,NBA,1,2006,34,2
Kevin Edwards,NBA,2,2001,26,13
Shane Edwards,NBA,3,2014,35,1
Johnny Egan,NBA,2,1972,54,11
Lonnie Eggleston,NBA,2,1949,-14,1
Bulbs Ehlers,NBA,0,1949,27,2
Craig Ehlo,NBA,0,1997,0,14
Rich Eichhorst,NBA,2,1962,-25,1
Howard Eisley,NBA,2,2006,51,12
Obinna Ekezie,NBA,0,2005,37,6
Khalid El-Amin,NBA,2,2001,47,1
Don Eliason,NBA,3,1947,11,1
Mario Elie,NBA,0,2001,41,11
Ray Ellefson,NBA,1,1951,-19,3
Henry Ellenson,NBA,3,2018,74,2
Wayne Ellington,NBA,2,2018,48,9
Bob Elliott,NBA,0,1981,12,3
Sean Elliott,NBA,3,2001,61,12
Bo Ellis,NBA,3,1980,-5,3
Boo Ellis,NBA,3,1960,-7,2
Dale Ellis,NBA,0,2000,48,17
Harold Ellis,NBA,2,1998,22,5
Joe Ellis,NBA,0,1974,22,8
LaPhonso Ellis,NBA,3,2003,25,11
LeRon Ellis,NBA,0,1996,2,5
Leroy Ellis,NBA,0,1976,39,14
Monta Ellis,NBA,2,2017,35,12
Pervis Ellison,NBA,0,2001,83,12
Len Elmore,NBA,0,1984,25,10
Francisco Elson,NBA,1,2012,46,9
Darrell Elston,NBA,2,1977,10,3
Melvin Ely,NBA,1,2014,60,12
Joel Embiid,NBA,0,2018,72,2
Wayne Embry,NBA,0,1969,-1,11
Andre Emmett,NBA,3,2012,24,8
Ned Endress,NBA,0,1947,-3,1
Chris Engler,NBA,1,1988,71,6
Wayne Englestad,NBA,3,1989,-1,1
A.J. English,NBA,2,1992,-2,2
Alex English,NBA,3,1991,35,15
Claude English,NBA,3,1971,-15,1
Jo Jo English,NBA,2,1995,63,3
Kim English,NBA,2,2013,69,1
Scott English,NBA,3,1975,25,3
Gene Englund,NBA,0,1950,-25,1
James Ennis,NBA,3,2018,94,4
Tyler Ennis,NBA,2,2018,49,4
Ray Epps,NBA,3,1979,32,1
Semih Erden,NBA,1,2012,87,2
Bo Erias,NBA,3,1958,-15,1
Keith Erickson,NBA,0,1977,22,12
Julius Erving,NBA,0,1987,-9,16
Evan Eschmeyer,NBA,1,2003,16,4
Jack Eskridge,NBA,0,1949,-29,1
Vincenzo Esposito,NBA,2,1996,41,1
Billy Evans,NBA,2,1970,-10,1
Bob Evans,NBA,2,1950,-39,1
Brian Evans,NBA,3,1999,16,3
Earl Evans,NBA,3,1980,18,1
Jawun Evans,NBA,2,2018,34,1
Jeremy Evans,NBA,3,2016,21,6
Maurice Evans,NBA,2,2012,23,11
Mike Evans,NBA,2,1988,-1,9
Reggie Evans,NBA,3,2015,93,13
Tyreke Evans,NBA,0,2018,105,9
Daniel Ewing,NBA,2,2007,64,2
Patrick Ewing,NBA,0,2002,78,17
Patrick Ewing,NBA,3,2011,22,1
Dante Exum,NBA,2,2017,85,3
Christian Eyenga,NBA,3,2012,26,2
Festus Ezeli,NBA,1,2016,35,4
Johnny Ezersky,NBA,0,1950,-14,3
Joe Fabel,NBA,0,1947,11,1
John Fairchild,NBA,3,1970,0,5
Phil Farbman,NBA,3,1949,28,1
Kenneth Faried,NBA,3,2018,30,7
Dick Farley,NBA,0,1959,-32,5
Jordan Farmar,NBA,2,2017,32,11
Desmon Farmer,NBA,2,2009,69,3
Jim Farmer,NBA,2,1994,74,7
Mike Farmer,NBA,3,1966,12,8
Tony Farmer,NBA,3,2000,26,3
Bob Faught,NBA,3,1947,16,1
Vitor Faverani,NBA,1,2014,85,1
Derrick Favors,NBA,0,2018,56,8
Nick Fazekas,NBA,3,2008,13,1
Dave Fedor,NBA,3,1963,-29,1
Bob Feerick,NBA,0,1950,-40,4
Butch Feher,NBA,2,1977,-4,1
Jamie Feick,NBA,1,2001,71,5
Ron Feiereisel,NBA,2,1956,-28,1
George Feigenbaum,NBA,2,1953,24,4
Dave Feitl,NBA,1,1992,70,6
Kay Felder,NBA,2,2018,41,2
Cristiano Felicio,NBA,0,2018,20,3
Carrick Felix,NBA,2,2014,29,1
Noel Felix,NBA,3,2006,53,1
Ray Felix,NBA,1,1962,29,9
Raymond Felton,NBA,2,2018,54,13
Jake Fendley,NBA,2,1953,-12,2
Warren Fenley,NBA,3,1947,-46,1
Desmond Ferguson,NBA,0,2004,79,1
Terrance Ferguson,NBA,0,2018,81,1
Rudy Fernandez,NBA,2,2012,46,4
Eric Fernsten,NBA,0,1984,-2,9
Al Ferrari,NBA,0,1963,14,8
Rolando Ferreira,NBA,1,1989,27,1
Duane Ferrell,NBA,0,1999,11,11
Yogi Ferrell,NBA,2,2018,74,2
Arnie Ferrin,NBA,0,1951,4,3
Bob Ferry,NBA,0,1969,18,10
Danny Ferry,NBA,3,2003,61,13
Kyrylo Fesenko,NBA,1,2012,39,5
Bobby Fields,NBA,2,1972,44,1
Kenny Fields,NBA,0,1988,-5,4
Landry Fields,NBA,3,2015,46,5
Ron Filipek,NBA,3,1968,-6,1
Greg Fillmore,NBA,1,1972,24,2
Larry Finch,NBA,2,1975,-7,2
Hank Finkel,NBA,1,1975,52,9
Michael Finley,NBA,0,2010,90,15
Danny Finn,NBA,2,1955,-23,3
Dorian Finney-Smith,NBA,3,2018,96,2
Matt Fish,NBA,1,1997,43,3
Derek Fisher,NBA,2,2014,81,18
Richard Fisher,NBA,3,1972,10,1
Gerald Fitch,NBA,2,2006,25,1
Bob Fitzgerald,NBA,0,1949,-8,3
Dick Fitzgerald,NBA,3,1948,-12,2
Marcus Fizer,NBA,3,2006,17,6
Jerry Fleishman,NBA,0,1953,0,7
Al Fleming,NBA,3,1978,25,1
Ed Fleming,NBA,0,1960,21,5
Vern Fleming,NBA,2,1996,21,12
Luis Flores,NBA,2,2005,57,1
Bruce Flowers,NBA,3,1983,-4,1
Sleepy Floyd,NBA,2,1995,2,13
Jonny Flynn,NBA,2,2012,27,3
Mike Flynn,NBA,2,1978,7,3
Larry Fogle,NBA,2,1976,-5,1
Jack Foley,NBA,3,1963,13,1
Isaac Fontaine,NBA,2,2002,53,1
Levi Fontaine,NBA,2,1971,19,1
Jeff Foote,NBA,1,2012,66,1
Bryn Forbes,NBA,2,2018,62,2
Gary Forbes,NBA,3,2012,30,2
Alphonso Ford,NBA,2,1995,23,2
Alton Ford,NBA,3,2004,21,3
Bob Ford,NBA,3,1973,47,1
Chris Ford,NBA,0,1982,28,10
Don Ford,NBA,3,1982,1,7
Jake Ford,NBA,2,1972,-16,2
Phil Ford,NBA,2,1985,9,7
Sharrod Ford,NBA,3,2006,60,1
Sherell Ford,NBA,3,1996,28,1
T.J. Ford,NBA,2,2012,35,9
Donnie Forman,NBA,2,1949,-2,1
Bayard Forrest,NBA,1,1979,19,2
Joseph Forte,NBA,2,2003,22,2
Courtney Fortson,NBA,2,2012,20,1
Danny Fortson,NBA,3,2007,79,10
Fred Foster,NBA,3,1977,37,9
Greg Foster,NBA,0,2003,76,13
Jeff Foster,NBA,0,2012,36,13
Jimmy Foster,NBA,2,1976,-21,2
Rod Foster,NBA,2,1986,37,3
Antonis Fotsis,NBA,3,2002,59,1
Evan Fournier,NBA,0,2018,49,6
Larry Foust,NBA,0,1962,-21,12
Calvin Fowler,NBA,2,1970,-5,1
Jerry Fowler,NBA,1,1952,-25,1
Tremaine Fowlkes,NBA,3,2005,28,4
De'Aaron Fox,NBA,2,2018,53,1
Harold Fox,NBA,2,1973,60,1
Jim Fox,NBA,0,1977,-14,10
Rick Fox,NBA,0,2004,55,13
