,sport,position,start_year,start_age,years_played
13522,mlb,G_p,2014,23,5.0
13523,mlb,G_p,2014,23,5.0
13524,mlb,G_p,2014,23,5.0
13525,mlb,G_p,2014,23,5.0
13526,mlb,G_p,2014,23,5.0
13527,mlb,G_p,2014,23,5.0
13820,mlb,G_p,2016,23,1.0
13873,mlb,G_c,2015,26,2.0
13874,mlb,G_c,2015,26,2.0
14092,mlb,G_if,2015,23,3.0
14093,mlb,G_of,2015,23,3.0
14115,mlb,G_p,2017,23,1.0
14445,mlb,G_p,2016,24,0.0
14446,mlb,G_p,2014,27,4.0
14447,mlb,G_p,2014,27,4.0
14448,mlb,G_p,2014,27,4.0
14449,mlb,G_p,2014,27,4.0
14816,mlb,G_if,2016,29,1.0
14817,mlb,G_of,2016,29,1.0
15368,mlb,G_p,2014,30,3.0
15369,mlb,G_p,2014,30,3.0
15370,mlb,G_p,2014,30,3.0
15817,mlb,G_p,2017,28,1.0
15890,mlb,G_of,2014,27,2.0
15891,mlb,G_of,2014,27,2.0
15892,mlb,G_of,2014,27,2.0
15962,mlb,G_p,2015,33,1.0
15976,mlb,G_if,2015,23,3.0
15977,mlb,G_if,2015,23,3.0
15978,mlb,G_if,2015,23,3.0
16176,mlb,G_if,2014,23,2.0
16177,mlb,G_if,2014,23,2.0
16178,mlb,G_if,2016,23,2.0
16179,mlb,G_if,2016,23,2.0
16191,mlb,G_of,2015,25,2.0
16192,mlb,G_of,2015,25,2.0
16193,mlb,G_of,2015,25,2.0
16365,mlb,G_p,2016,26,2.0
16366,mlb,G_p,2016,26,2.0
16367,mlb,G_p,2016,26,2.0
16401,mlb,G_p,2017,24,1.0
17703,mlb,G_if,2014,28,1.0
18293,mlb,G_of,2016,26,1.0
18608,mlb,G_if,2015,28,3.0
18609,mlb,G_if,2015,28,3.0
18936,mlb,G_of,2014,24,4.0
18937,mlb,G_of,2014,24,4.0
18938,mlb,G_of,2014,24,4.0
18939,mlb,G_of,2014,24,4.0
19029,mlb,G_p,2016,26,1.0
19161,mlb,G_p,2016,24,1.0
19277,mlb,G_p,2018,25,1.0
19446,mlb,G_p,2014,23,2.0
19447,mlb,G_p,2014,23,2.0
19679,mlb,G_p,2015,25,1.0
19788,mlb,G_p,2015,28,4.0
19789,mlb,G_p,2015,28,4.0
19867,mlb,G_p,2014,24,4.0
19868,mlb,G_p,2014,24,4.0
19969,mlb,G_p,2014,28,2.0
19970,mlb,G_p,2014,28,2.0
19971,mlb,G_of,2017,22,1.0
20060,mlb,G_p,2015,26,0.0
20229,mlb,G_p,2015,28,1.0
20230,mlb,G_p,2015,28,1.0
20259,mlb,G_p,2016,24,2.0
20260,mlb,G_p,2016,24,2.0
20736,mlb,G_p,2015,26,2.0
20737,mlb,G_p,2015,26,2.0
20999,mlb,G_p,2014,23,5.0
21000,mlb,G_p,2014,23,5.0
21001,mlb,G_p,2014,23,5.0
21002,mlb,G_p,2014,23,5.0
21003,mlb,G_p,2014,23,5.0
21575,mlb,G_p,2016,26,3.0
21576,mlb,G_p,2016,26,3.0
21577,mlb,G_p,2016,26,3.0
21750,mlb,G_p,2015,27,2.0
21751,mlb,G_p,2015,27,2.0
21860,mlb,G_p,2016,24,3.0
21861,mlb,G_p,2016,24,3.0
21862,mlb,G_p,2016,24,3.0
21863,mlb,G_p,2016,24,3.0
21864,mlb,G_p,2016,24,3.0
22284,mlb,G_p,2016,22,3.0
22285,mlb,G_p,2016,22,3.0
22286,mlb,G_p,2016,22,3.0
22396,mlb,G_p,2014,25,1.0
23333,mlb,G_p,2016,27,1.0
23409,mlb,G_if,2015,28,1.0
23488,mlb,G_p,2018,25,1.0
23606,mlb,G_p,2016,27,1.0
23841,mlb,G_p,2015,23,2.0
23842,mlb,G_p,2015,23,2.0
24052,mlb,G_p,2014,27,1.0
24127,mlb,G_p,2015,27,0.0
24495,mlb,G_p,2016,27,2.0
24496,mlb,G_p,2016,27,2.0
24539,mlb,G_p,2014,30,4.0
24540,mlb,G_p,2014,30,4.0
24541,mlb,G_p,2014,30,4.0
24542,mlb,G_p,2014,30,4.0
24714,mlb,G_of,2017,27,1.0
25279,mlb,G_of,2014,28,1.0
25280,mlb,G_of,2014,28,1.0
25618,mlb,G_of,2015,31,1.0
26454,mlb,G_if,2015,26,1.0
26455,mlb,G_if,2015,26,1.0
27057,mlb,G_if,2015,28,1.0
27167,mlb,G_c,2015,30,1.0
27557,mlb,G_p,2016,25,1.0
27558,mlb,G_p,2016,25,1.0
27790,mlb,G_p,2015,25,3.0
27791,mlb,G_p,2015,25,3.0
27792,mlb,G_p,2015,25,3.0
28182,mlb,G_p,2017,26,1.0
28394,mlb,G_p,2016,26,1.0
28395,mlb,G_p,2016,26,1.0
28424,mlb,G_p,2014,22,3.0
28425,mlb,G_p,2014,22,3.0
29466,mlb,G_p,2015,23,2.0
29467,mlb,G_p,2015,23,2.0
29479,mlb,G_if,2015,26,3.0
29480,mlb,G_if,2015,26,3.0
29481,mlb,G_if,2015,26,3.0
29753,mlb,G_if,2018,30,1.0
29825,mlb,G_p,2015,25,3.0
29826,mlb,G_p,2015,25,3.0
29989,mlb,G_of,2015,24,0.0
30016,mlb,G_of,2018,26,1.0
30017,mlb,G_of,2018,26,1.0
30100,mlb,G_if,2014,27,3.0
30101,mlb,G_if,2014,27,3.0
30102,mlb,G_if,2014,27,3.0
30243,mlb,G_p,2014,21,4.0
30244,mlb,G_p,2014,21,4.0
30245,mlb,G_p,2014,21,4.0
30246,mlb,G_p,2014,21,4.0
30247,mlb,G_p,2014,21,4.0
30248,mlb,G_p,2014,21,4.0
30685,mlb,G_p,2014,28,3.0
30686,mlb,G_p,2014,28,3.0
30687,mlb,G_p,2014,28,3.0
30889,mlb,G_p,2015,24,1.0
30890,mlb,G_p,2015,24,1.0
30902,mlb,G_of,2015,23,3.0
30903,mlb,G_of,2015,23,3.0
30904,mlb,G_of,2015,23,3.0
31177,mlb,G_if,2017,26,2.0
31178,mlb,G_if,2017,26,2.0
31368,mlb,G_p,2014,26,1.0
32444,mlb,G_p,2014,25,2.0
32445,mlb,G_p,2014,25,2.0
32446,mlb,G_p,2014,25,2.0
33318,mlb,G_p,2016,32,1.0
33468,mlb,G_p,2014,24,2.0
33469,mlb,G_p,2014,24,2.0
33481,mlb,G_if,2015,30,3.0
33482,mlb,G_if,2015,30,3.0
33483,mlb,G_if,2015,30,3.0
33591,mlb,G_p,2015,23,1.0
33709,mlb,G_of,2017,25,1.0
33720,mlb,G_p,2017,24,1.0
33721,mlb,G_p,2017,24,1.0
33920,mlb,G_p,2016,28,1.0
35254,mlb,G_p,2016,25,1.0
35489,mlb,G_of,2014,27,1.0
35544,mlb,G_p,2016,23,3.0
35545,mlb,G_p,2016,23,3.0
35546,mlb,G_p,2016,23,3.0
35593,mlb,G_if,2014,27,1.0
35596,mlb,G_p,2014,26,4.0
35597,mlb,G_p,2014,26,4.0
35598,mlb,G_p,2014,26,4.0
35599,mlb,G_p,2014,26,4.0
35600,mlb,G_p,2014,26,4.0
35601,mlb,G_p,2014,26,4.0
35602,mlb,G_of,2016,24,1.0
35611,mlb,G_p,2015,27,2.0
35612,mlb,G_p,2015,27,2.0
35613,mlb,G_p,2015,27,2.0
35624,mlb,G_p,2017,21,1.0
35625,mlb,G_p,2017,21,1.0
35639,mlb,G_p,2017,27,1.0
35839,mlb,G_if,2017,25,1.0
35840,mlb,G_if,2017,25,1.0
35846,mlb,G_p,2017,28,1.0
35847,mlb,G_p,2017,28,1.0
35869,mlb,G_p,2018,24,1.0
35930,mlb,G_c,2018,26,1.0
36095,mlb,G_p,2018,23,1.0
36135,mlb,G_p,2014,31,1.0
36164,mlb,G_p,2015,23,2.0
36165,mlb,G_p,2015,23,2.0
36590,mlb,G_p,2017,25,1.0
36591,mlb,G_p,2017,25,1.0
36816,mlb,G_p,2015,25,2.0
36817,mlb,G_p,2015,25,2.0
36920,mlb,G_of,2017,25,1.0
37011,mlb,G_p,2018,25,1.0
37293,mlb,G_p,2014,27,2.0
37294,mlb,G_p,2014,27,2.0
38218,mlb,G_p,2014,33,0.0
38273,mlb,G_p,2015,25,1.0
38274,mlb,G_p,2015,25,1.0
38324,mlb,G_of,2014,28,2.0
38325,mlb,G_of,2014,28,2.0
38331,mlb,G_of,2018,25,1.0
38673,mlb,G_p,2015,27,3.0
38674,mlb,G_p,2015,27,3.0
38675,mlb,G_p,2015,27,3.0
39138,mlb,G_p,2014,25,1.0
39346,mlb,G_p,2017,26,2.0
39347,mlb,G_p,2017,26,2.0
39435,mlb,G_p,2015,27,1.0
39436,mlb,G_p,2015,27,1.0
39927,mlb,G_p,2018,28,1.0
40023,mlb,G_p,2018,25,1.0
40105,mlb,G_of,2017,26,1.0
40902,mlb,G_p,2015,30,1.0
41238,mlb,G_of,2014,26,1.0
41376,mlb,G_p,2016,26,1.0
41377,mlb,G_p,2015,27,1.0
41426,mlb,G_p,2017,27,2.0
41427,mlb,G_p,2017,27,2.0
41574,mlb,G_p,2016,29,1.0
41685,mlb,G_of,2016,29,2.0
41686,mlb,G_of,2016,29,2.0
41853,mlb,G_of,2015,25,1.0
42935,mlb,G_p,2017,25,1.0
43299,mlb,G_p,2017,22,1.0
43454,mlb,G_p,2015,26,2.0
43455,mlb,G_p,2015,26,2.0
43456,mlb,G_p,2015,26,2.0
43478,mlb,G_p,2014,26,3.0
43479,mlb,G_p,2014,26,3.0
43480,mlb,G_p,2014,26,3.0
43481,mlb,G_p,2014,26,3.0
43482,mlb,G_p,2014,26,3.0
44048,mlb,G_p,2014,25,1.0
44049,mlb,G_p,2014,25,1.0
44116,mlb,G_p,2015,29,1.0
44117,mlb,G_p,2015,29,1.0
44118,mlb,G_p,2015,29,1.0
44712,mlb,G_p,2014,27,1.0
44766,mlb,G_p,2014,26,1.0
45006,mlb,G_of,2014,25,3.0
45007,mlb,G_of,2014,25,3.0
45008,mlb,G_of,2014,25,3.0
45009,mlb,G_of,2014,25,3.0
45069,mlb,G_of,2016,26,1.0
45486,mlb,G_p,2014,25,4.0
45487,mlb,G_p,2014,25,4.0
45488,mlb,G_p,2014,25,4.0
45489,mlb,G_p,2014,25,4.0
45985,mlb,G_p,2017,24,2.0
45986,mlb,G_p,2017,24,2.0
46669,mlb,G_p,2016,25,1.0
46670,mlb,G_p,2016,25,1.0
46802,mlb,G_if,2017,30,1.0
46867,mlb,G_p,2015,26,1.0
47622,mlb,G_p,2014,27,1.0
47623,mlb,G_p,2014,27,1.0
47756,mlb,G_p,2017,28,1.0
47908,mlb,G_p,2017,26,1.0
48092,mlb,G_p,2016,24,1.0
48170,mlb,G_of,2016,28,1.0
48252,mlb,G_c,2017,27,1.0
48935,mlb,G_if,2015,25,3.0
48936,mlb,G_if,2015,25,3.0
48937,mlb,G_of,2015,25,3.0
49044,mlb,G_if,2018,28,1.0
49182,mlb,G_p,2014,25,1.0
49501,mlb,G_of,2014,26,2.0
49502,mlb,G_of,2014,26,2.0
49629,mlb,G_if,2017,23,2.0
49630,mlb,G_if,2017,23,2.0
49867,mlb,G_p,2017,23,1.0
49944,mlb,G_if,2016,25,2.0
49945,mlb,G_if,2016,25,2.0
50111,mlb,G_p,2015,26,2.0
50112,mlb,G_p,2015,26,2.0
50113,mlb,G_p,2015,26,2.0
50215,mlb,G_of,2018,27,1.0
51099,mlb,G_p,2015,28,1.0
51102,mlb,G_if,2016,28,3.0
51103,mlb,G_p,2016,28,3.0
51104,mlb,G_if,2016,28,3.0
51105,mlb,G_if,2016,28,3.0
51302,mlb,G_p,2018,24,1.0
51663,mlb,G_p,2016,25,2.0
51664,mlb,G_c,2016,25,2.0
51680,mlb,G_p,2016,27,3.0
51681,mlb,G_p,2016,27,3.0
51880,mlb,G_of,2016,28,2.0
51881,mlb,G_of,2016,28,2.0
51882,mlb,G_of,2016,28,2.0
52434,mlb,G_p,2014,25,3.0
52435,mlb,G_p,2014,25,3.0
52436,mlb,G_p,2014,25,3.0
52437,mlb,G_p,2014,25,3.0
52927,mlb,G_p,2015,26,1.0
53556,mlb,G_p,2018,26,1.0
53830,mlb,G_if,2015,25,1.0
54058,mlb,G_p,2017,23,1.0
54175,mlb,G_of,2015,27,2.0
54176,mlb,G_if,2015,27,2.0
54437,mlb,G_p,2015,25,3.0
54438,mlb,G_p,2015,25,3.0
54439,mlb,G_p,2015,25,3.0
55295,mlb,G_p,2017,30,2.0
55296,mlb,G_p,2017,30,2.0
55297,mlb,G_p,2017,30,2.0
55402,mlb,G_p,2015,26,1.0
55560,mlb,G_p,2015,25,3.0
55561,mlb,G_p,2015,25,3.0
55562,mlb,G_p,2015,25,3.0
55678,mlb,G_of,2018,25,1.0
55728,mlb,G_if,2016,34,1.0
55861,mlb,G_p,2015,24,2.0
55862,mlb,G_p,2015,24,2.0
56055,mlb,G_p,2017,26,2.0
56056,mlb,G_p,2017,26,2.0
56057,mlb,G_p,2017,26,2.0
56313,mlb,G_p,2015,27,1.0
