player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Roman Lyubimov\lyubiro01,LW,0,0,1,0,2017,25,1,2017,25
Roman Polak\polakro01,D,0,1,0,0,2007,20,11,2017,30
Roman Wick\wickro01,RW,0,0,0,1,2011,25,1,2011,25
Ron Hainsey\hainsro01,D,0,1,0,0,2006,24,12,2017,35
Ronald Petrovicky\petroro02,RW,0,0,0,1,2006,28,2,2009,29
Ronalds Kenins\keninro01,LW,0,0,1,0,2015,23,2,2016,24
Rory Fitzpatrick\fitzpro02,D,0,1,0,0,2006,31,3,2009,33
Ross Johnston\johnsro02,LW,0,0,1,0,2016,21,1,2016,21
Rostislav Klesla\kleslro01,D,0,1,0,0,2006,23,9,2014,31
Rostislav Olesz\oleszro01,C,1,0,0,0,2006,20,9,2014,28
Ruslan Fedotenko\fedotru01,LW,0,0,1,0,2006,27,8,2013,34
Ruslan Salei\saleiru01,D,0,1,0,0,2006,31,6,2011,36
Ryan Bayda\baydary01,LW,0,0,1,0,2007,26,3,2009,28
Ryan Bourque\bourqry01,C,1,0,0,0,2015,24,1,2015,24
Ryan Caldwell\caldwry01,D,0,1,0,0,2006,24,3,2008,26
Ryan Callahan\callary01,RW,0,0,0,1,2007,21,11,2017,31
