player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Nathan Oystrick\oystrna01,D,0,1,0,0,2009,26,3,2011,28
Nathan Paetsch\paetsna01,D,0,1,0,0,2006,22,5,2010,26
Nathan Perrott\perrona01,RW,0,0,0,1,2006,29,1,2006,29
Nathan Robinson\robinna01,C,1,0,0,0,2006,24,1,2006,24
Nathan Smith\smithna02,C,1,0,0,0,2006,23,5,2010,27
Nazem Kadri\kadrina01,C,1,0,0,0,2010,19,8,2017,26
Nelson Nogier\nogiene01,D,0,1,0,0,2017,20,1,2017,20
Nic Dowd\dowdni01,C,1,0,0,0,2016,25,2,2017,26
Nic Petan\petanni01,LW,0,0,1,0,2016,20,2,2017,21
Nicholas Baptiste\baptini01,RW,0,0,0,1,2017,21,1,2017,21
Nicholas Petrecki\petreni01,D,0,1,0,0,2013,23,1,2013,23
Nick Bjugstad\bjugsni01,C,1,0,0,0,2013,20,5,2017,24
Nick Bonino\boninni01,C,1,0,0,0,2010,21,8,2017,28
Nick Boynton\boyntni01,D,0,1,0,0,2006,27,6,2011,32
Nick Cousins\cousini01,C,1,0,0,0,2015,21,3,2017,23
Nick Drazenovic\drazeni01,C,1,0,0,0,2011,24,4,2014,27
Nick Foligno\foligni01,LW,0,0,1,0,2008,20,10,2017,29
Nick Holden\holdeni01,D,0,1,0,0,2011,23,7,2017,29
Nick Jensen\jenseni02,D,0,1,0,0,2017,26,1,2017,26
Nick Johnson\johnsni01,RW,0,0,0,1,2010,24,5,2014,28
Nick Lappin\lappini01,RW,0,0,0,1,2017,24,1,2017,24
Nick Leddy\leddyni01,D,0,1,0,0,2011,19,7,2017,25
Nick Palmieri\palmini01,RW,0,0,0,1,2010,20,3,2012,22
Nick Paul\paulni01,LW,0,0,1,0,2016,20,2,2017,21
Nick Ritchie\ritchni01,LW,0,0,1,0,2016,20,2,2017,21
Nick Schmaltz\schmani01,LW,0,0,1,0,2017,20,1,2017,20
Nick Schultz\schulni01,D,0,1,0,0,2006,23,12,2017,34
Nick Shore\shoreni01,C,1,0,0,0,2015,22,3,2017,24
Nick Sorensen\sorenni01,RW,0,0,0,1,2017,22,1,2017,22
Nick Spaling\spalini01,C,1,0,0,0,2010,21,7,2016,27
Nick Tarnasky\tarnani01,C,1,0,0,0,2006,21,5,2010,25
Nicklas Backstrom\backsni02,C,1,0,0,0,2008,20,10,2017,29
Nicklas Grossmann\grossni01,D,0,1,0,0,2007,22,11,2017,32
Nicklas Jensen\jenseni01,LW,0,0,1,0,2013,19,5,2017,23
Nicklas Lidstrom*\lidstni01,D,0,1,0,0,2006,35,7,2012,41
Niclas Bergfors\bergfni01,RW,0,0,0,1,2008,20,5,2012,24
Niclas Havelid\havelni01,D,0,1,0,0,2006,32,4,2009,35
Niclas Wallin\wallini01,D,0,1,0,0,2006,30,6,2011,35
Nicolas Blanchard\blancni01,C,1,0,0,0,2013,25,1,2013,25
Nicolas Deschamps\deschni01,C,1,0,0,0,2014,24,1,2014,24
Nicolas Deslauriers\deslani01,LW,0,0,1,0,2014,22,4,2017,25
Nicolas Kerdiles\kerdini01,LW,0,0,1,0,2017,23,1,2017,23
Nigel Dawes\dawesni01,LW,0,0,1,0,2007,21,5,2011,25
Nik Antropov\antroni01,C,1,0,0,0,2006,25,8,2013,32
Nikita Alexeev\alexeni01,RW,0,0,0,1,2007,25,1,2009,25
Nikita Filatov\filatni01,LW,0,0,1,0,2009,18,4,2012,21
Nikita Kucherov\kucheni01,RW,0,0,0,1,2014,20,4,2017,23
Nikita Nesterov\nesteni01,D,0,1,0,0,2015,21,3,2017,23
Nikita Nikitin\nikitni01,D,0,1,0,0,2011,24,6,2016,29
Nikita Scherbak\scherni01,RW,0,0,0,1,2017,21,1,2017,21
Nikita Soshnikov\soshnni01,RW,0,0,0,1,2016,22,2,2017,23
Nikita Tryamkin\tryamni01,D,0,1,0,0,2016,21,2,2017,22
Nikita Zadorov\zadorni01,D,0,1,0,0,2014,18,4,2017,21
Nikita Zaitsev\zaitsni01,D,0,1,0,0,2017,25,1,2017,25
Niklas Hagman\hagmani01,LW,0,0,1,0,2006,26,7,2012,32
Niklas Hjalmarsson\hjalmni01,D,0,1,0,0,2008,20,10,2017,29
Niklas Kronwall\kronwni01,D,0,1,0,0,2006,25,12,2017,36
Niklas Nordgren\nordgni01,LW,0,0,1,0,2006,26,1,2006,26
Niklas Sundstrom\sundsni01,RW,0,0,0,1,2006,30,1,2006,30
