,player_ID,sport,position,retire_year,retire_age,years_played
719,Charles Claxton,NBA,1,1996,53,1
720,Speedy Claxton,NBA,2,2009,15,8
721,Jim Cleamons,NBA,2,1980,58,9
722,Mateen Cleaves,NBA,2,2006,84,6
723,Barry Clemens,NBA,3,1976,0,11
724,Antonius Cleveland,NBA,2,2018,98,1
725,Nat Clifton,NBA,0,1958,41,8
726,Bill Closs,NBA,0,1952,1,3
727,Keith Closs,NBA,1,2000,35,3
731,Richard Coffey,NBA,3,1991,30,1
732,Fred Cofield,NBA,2,1987,20,2
733,John Coker,NBA,1,2001,51,6
734,Norris Cole,NBA,2,2017,93,6
735,Ben Coleman,NBA,3,1994,33,8
736,Derrick Coleman,NBA,3,2005,37,15
737,E.C. Coleman,NBA,3,1979,2,6
738,Jack Coleman,NBA,0,1958,4,9
739,Norris Coleman,NBA,3,1988,30,1
740,Bimbo Coles,NBA,2,2004,53,14
741,Jason Collier,NBA,1,2005,32,5
742,Art Collins,NBA,2,1981,3,1
743,Don Collins,NBA,0,1987,9,7
744,Doug Collins,NBA,0,1981,35,8
745,James Collins,NBA,2,1998,1,1
746,Jarron Collins,NBA,0,2011,27,10
747,Jason Collins,NBA,1,2014,27,13
749,John Collins,NBA,3,2018,27,1
750,Mardy Collins,NBA,2,2010,23,4
751,Sherron Collins,NBA,2,2011,31,1
752,Zach Collins,NBA,0,2018,94,1
753,Kyle Collinsworth,NBA,0,2018,43,1
754,Darren Collison,NBA,2,2018,56,9
755,Nick Collison,NBA,3,2018,72,14
757,Sean Colson,NBA,2,2001,58,1
758,Steve Colter,NBA,2,1995,31,11
759,Glen Combs,NBA,2,1975,36,7
760,Leroy Combs,NBA,3,1984,41,1
761,John Comeaux,NBA,3,1968,38,1
762,Dallas Comegys,NBA,3,1989,45,2
764,Jeffrey Congdon,NBA,2,1972,39,5
767,Mike Conley,NBA,2,2018,65,11
768,Ed Conlin,NBA,0,1962,3,7
769,Marty Conlon,NBA,0,2000,79,9
770,Pat Connaughton,NBA,2,2018,36,3
771,Jimmy Conner,NBA,2,1976,9,1
772,Lester Conner,NBA,2,1995,66,13
773,Chuck Connors,NBA,0,1948,25,2
774,Will Conroy,NBA,2,2013,33,7
775,Anthony Cook,NBA,0,1996,9,6
778,Brian Cook,NBA,3,2012,57,9
779,Daequan Cook,NBA,2,2013,31,6
782,Norm Cook,NBA,3,1978,15,2
783,Omar Cook,NBA,2,2005,57,2
784,Quinn Cook,NBA,2,2018,27,2
785,Charles Cooke,NBA,2,2018,92,1
786,David Cooke,NBA,3,1986,17,1
787,Joe Cooke,NBA,2,1971,14,1
788,Jack Cooley,NBA,0,2018,62,4
789,Chuck Cooper,NBA,3,1956,0,6
790,Duane Cooper,NBA,2,1994,30,2
791,Joe Cooper,NBA,0,1985,1,4
792,Michael Cooper,NBA,0,1990,35,12
793,Wayne Cooper,NBA,0,1992,27,14
794,Tom Copa,NBA,1,1992,30,1
795,Chris Copeland,NBA,3,2016,48,4
796,Hollis Copeland,NBA,3,1982,54,3
797,Lanard Copeland,NBA,2,1992,36,3
798,Tyrone Corbin,NBA,0,2001,70,16
799,Chris Corchiani,NBA,2,1994,1,3
801,Ray Corley,NBA,2,1953,29,4
802,Dave Corzine,NBA,1,1991,16,13
803,Larry Costello,NBA,2,1968,17,14
804,Matt Costello,NBA,3,2018,77,1
805,Bryce Cotton,NBA,2,2016,74,2
807,James Cotton,NBA,2,1999,13,2
809,Mel Counts,NBA,0,1976,48,12
811,Joe Courtney,NBA,3,1997,49,5
812,Marcus Cousin,NBA,1,2011,56,1
813,DeMarcus Cousins,NBA,0,2018,82,8
814,Bob Cousy,NBA,2,1970,15,20
815,Robert Covington,NBA,3,2018,26,5
817,Chubby Cox,NBA,2,1983,8,1
818,Johnny Cox,NBA,2,1963,22,1
820,Allen Crabbe,NBA,0,2018,32,5
821,Torrey Craig,NBA,0,2018,30,1
822,Chris Crawford,NBA,3,2004,54,7
823,Freddie Crawford,NBA,0,1971,13,5
824,Jamal Crawford,NBA,2,2018,95,18
825,Joe Crawford,NBA,3,2009,30,1
826,Jordan Crawford,NBA,2,2018,70,8
827,Jim Creighton,NBA,3,1976,30,1
828,Ron Crevier,NBA,1,1986,21,1
830,Joe Crispin,NBA,2,2002,77,1
831,Charlie Criss,NBA,2,1985,39,8
832,Russell Critchfield,NBA,2,1969,14,1
833,Winston Crite,NBA,3,1989,32,2
834,Javaris Crittenton,NBA,2,2009,34,2
836,Bobby Croft,NBA,1,1971,23,1
837,Geoff Crompton,NBA,1,1984,23,6
838,Terry Crosby,NBA,2,1980,57,1
839,Austin Croshere,NBA,3,2009,40,12
840,Jeff Cross,NBA,3,1986,46,1
841,Pete Cross,NBA,0,1973,19,3
842,Russell Cross,NBA,1,1984,15,1
844,John Crotty,NBA,2,2003,57,11
845,Bill Crow,NBA,2,1968,12,1
846,Mark Crow,NBA,3,1978,17,1
847,Corey Crowder,NBA,0,1995,19,4
848,Jae Crowder,NBA,3,2018,75,6
850,Pat Cummings,NBA,0,1991,45,12
851,Terry Cummings,NBA,3,2000,9,18
852,Vonteego Cummings,NBA,2,2002,28,3
853,Billy Cunningham,NBA,0,1976,11,11
854,Dante Cunningham,NBA,3,2018,99,9
855,Dick Cunningham,NBA,1,1975,18,7
856,Jared Cunningham,NBA,2,2016,44,4
857,William Cunningham,NBA,1,1999,77,2
858,Radisav Curcic,NBA,1,1993,29,1
860,Earl Cureton,NBA,0,1997,11,17
861,Bill Curley,NBA,3,2001,33,7
863,Dell Curry,NBA,2,2002,14,16
864,Eddy Curry,NBA,1,2013,43,12
865,JamesOn Curry,NBA,2,2010,59,1
866,Michael Curry,NBA,0,2005,63,12
867,Seth Curry,NBA,2,2017,91,4
868,Stephen Curry,NBA,2,2018,57,9
869,Rastko Cvetkovic,NBA,1,1996,15,1
870,Mike D'Antoni,NBA,2,1977,55,4
872,Ed Dahler,NBA,3,1952,8,1
873,Quintin Dailey,NBA,2,1992,45,10
874,Samuel Dalembert,NBA,1,2015,40,14
876,Erick Dampier,NBA,1,2012,45,16
878,Bob Dandridge,NBA,0,1982,38,13
879,Antonio Daniels,NBA,2,2011,20,14
880,Erik Daniels,NBA,3,2005,35,1
881,Lloyd Daniels,NBA,2,1998,42,6
882,Marquis Daniels,NBA,0,2013,83,10
883,Mel Daniels,NBA,1,1977,55,10
884,Troy Daniels,NBA,2,2018,74,5
885,Sasha Danilovic,NBA,2,1997,25,2
886,Adrian Dantley,NBA,0,1991,40,15
887,Pete Darcey,NBA,1,1953,0,1
888,Jimmy Darden,NBA,2,1950,13,1
890,Yinka Dare,NBA,1,1998,33,4
891,Jesse Dark,NBA,2,1975,4,1
893,Jimmy Darrow,NBA,2,1962,42,1
894,Luigi Datome,NBA,3,2015,24,2
895,Brad Daugherty,NBA,1,1994,1,8
897,Kornel David,NBA,3,2001,80,3
898,Jermareo Davidson,NBA,3,2009,30,2
900,Brandon Davies,NBA,3,2015,95,2
901,Anthony Davis,NBA,0,2018,68,6
902,Antonio Davis,NBA,0,2006,51,13
904,Baron Davis,NBA,2,2012,54,13
905,Ben Davis,NBA,3,2000,51,4
908,Brad Davis,NBA,2,1992,43,15
909,Brian Davis,NBA,0,1994,5,1
910,Charles Davis,NBA,3,1990,22,9
912,Dale Davis,NBA,0,2007,51,16
913,Deyonta Davis,NBA,0,2018,48,2
914,Dwight Davis,NBA,3,1977,36,5
915,Ed Davis,NBA,3,2018,63,8
916,Emanual Davis,NBA,2,2003,23,7
917,Glen Davis,NBA,0,2015,70,8
918,Harry Davis,NBA,3,1980,17,2
919,Hubert Davis,NBA,2,2004,31,12
920,Jim Davis,NBA,0,1975,25,8
921,Johnny Davis,NBA,2,1986,36,10
922,Josh Davis,NBA,3,2012,66,9
923,Lee Davis,NBA,0,1976,20,8
924,Mark Davis,NBA,0,1989,31,1
925,Mark Davis,NBA,0,2000,16,5
926,Mel Davis,NBA,3,1977,39,4
927,Mickey Davis,NBA,0,1977,45,6
929,Mike Davis,NBA,3,1983,29,1
930,Monti Davis,NBA,3,1981,14,1
931,Paul Davis,NBA,1,2010,79,4
932,Ralph Davis,NBA,2,1962,8,2
933,Red Davis,NBA,1,1956,13,1
934,Ricky Davis,NBA,2,2010,65,12
936,Terry Davis,NBA,0,2001,44,12
938,Walter Davis,NBA,0,1992,35,15
941,Andre Dawkins,NBA,2,2015,70,1
942,Darryl Dawkins,NBA,1,1989,22,14
943,Johnny Dawkins,NBA,2,1995,25,9
945,Branden Dawson,NBA,3,2016,56,1
946,Eric Dawson,NBA,3,2012,25,1
947,Jimmy Dawson,NBA,2,1968,11,1
948,Tony Dawson,NBA,3,1995,49,5
949,Todd Day,NBA,0,2001,61,9
950,Austin Daye,NBA,3,2015,42,6
952,Nando De Colo,NBA,2,2014,71,2
953,Greg Deane,NBA,2,1980,44,1
954,Billy DeAngelis,NBA,2,1971,0,1
955,Dave DeBusschere,NBA,0,1974,50,12
956,Andrew DeClercq,NBA,0,2005,13,10
957,Dewayne Dedmon,NBA,1,2018,24,5
958,Don Dee,NBA,3,1969,3,1
960,Terry Dehere,NBA,2,1999,30,6
962,Bryce Dejean-Jones,NBA,2,2016,42,1
963,Sam Dekker,NBA,3,2018,28,3
964,Vinny Del Negro,NBA,2,2002,76,14
965,Malcolm Delaney,NBA,2,2018,52,2
966,Bison Dele,NBA,0,1999,42,8
967,Carlos Delfino,NBA,2,2013,43,9
968,Tony Delk,NBA,2,2006,77,10
969,Matthew Dellavedova,NBA,2,2018,33,5
971,Fennis Dembo,NBA,3,1989,59,1
973,Dell Demps,NBA,2,1997,48,4
974,George Dempsey,NBA,2,1959,12,5
975,Luol Deng,NBA,3,2018,66,14
977,Blaine Denning,NBA,2,1953,8,1
978,Justin Dentmon,NBA,2,2013,82,2
979,Randy Denton,NBA,1,1977,55,6
982,DeMar DeRozan,NBA,0,2018,36,9
986,Derrick Dial,NBA,2,2004,26,5
987,Cheick Diallo,NBA,3,2018,67,2
988,Boris Diaw,NBA,0,2017,42,14
989,Yakhouba Diawara,NBA,0,2010,59,4
990,Guillermo Diaz,NBA,2,2008,57,1
991,Dan Dickau,NBA,2,2008,82,6
992,Kaniel Dickens,NBA,3,2008,63,5
994,Michael Dickerson,NBA,0,2003,13,5
995,Clyde Dickey,NBA,2,1975,39,1
996,Derrek Dickey,NBA,3,1978,30,5
997,Dick Dickey,NBA,2,1952,1,1
998,John Dickson,NBA,1,1968,24,1
999,Travis Diener,NBA,2,2010,61,5
1000,Gorgui Dieng,NBA,1,2018,60,5
1001,Connie Dierking,NBA,0,1971,54,13
1002,Coby Dietrick,NBA,0,1983,59,13
1003,Ernie DiGregorio,NBA,2,1978,11,5
1004,Craig Dill,NBA,1,1968,18,1
1005,Dwaine Dillard,NBA,3,1976,33,1
1009,Byron Dinkins,NBA,2,1991,51,2
1010,Jackie Dinkins,NBA,3,1972,43,1
1013,Spencer Dinwiddie,NBA,2,2018,51,4
1014,Ike Diogu,NBA,3,2012,88,7
1015,DeSagana Diop,NBA,1,2013,36,12
1016,Terry Dischinger,NBA,0,1973,46,11
1017,Fred Diute,NBA,2,1955,36,1
1018,Vlade Divac,NBA,1,2005,48,16
1019,Juan Dixon,NBA,2,2009,83,7
1020,Aleksandar Djordjevic,NBA,2,1997,32,1
1021,Earl Dodd,NBA,3,1950,24,1
1022,Michael Doleac,NBA,1,2008,28,10
1025,James Donaldson,NBA,1,1995,47,15
1029,Keyon Dooling,NBA,2,2013,49,13
1030,Jacky Dorsey,NBA,3,1981,25,4
1031,Joey Dorsey,NBA,3,2015,61,7
1032,Ron Dorsey,NBA,3,1972,6,1
1033,Tyler Dorsey,NBA,2,2018,32,1
1034,Damyean Dotson,NBA,2,2018,31,1
1035,Quincy Douby,NBA,2,2009,64,3
1036,Bruce Douglas,NBA,2,1987,38,1
1038,Leon Douglas,NBA,0,1983,60,7
1039,Sherman Douglas,NBA,2,2001,51,12
1040,Toney Douglas,NBA,2,2017,77,8
1041,Chris Douglas-Roberts,NBA,2,2015,49,7
1044,Zabian Dowdell,NBA,2,2011,49,1
1046,Steve Downing,NBA,1,1975,21,2
1047,Danny Doyle,NBA,3,1963,5,1
1048,Terry Dozier,NBA,3,1990,0,1
1049,Goran Dragic,NBA,2,2018,56,10
1050,Zoran Dragic,NBA,0,2015,42,1
1051,Greg Dreiling,NBA,1,1997,50,11
1052,Bryce Drew,NBA,2,2004,29,6
1053,John Drew,NBA,0,1985,31,11
1055,Larry Drew,NBA,2,2015,82,1
1056,Clyde Drexler,NBA,2,1998,34,15
1057,Nate Driggers,NBA,2,1997,47,1
1058,Terry Driscoll,NBA,3,1975,10,5
1059,Predrag Drobnjak,NBA,1,2005,20,4
1060,Ralph Drollinger,NBA,1,1981,25,1
1061,Andre Drummond,NBA,1,2018,96,6
1062,Dick Duckett,NBA,2,1958,18,1
1063,Kevin Duckworth,NBA,1,1997,15,11
1065,Chris Dudley,NBA,1,2003,73,16
1066,Jared Dudley,NBA,0,2018,55,11
1067,Terry Duerod,NBA,2,1983,14,4
1069,Bob Duffy,NBA,2,1965,43,3
1070,Chris Duhon,NBA,2,2013,37,9
1071,Duje Dukan,NBA,3,2016,62,1
1073,Joe Dumars,NBA,2,1999,5,14
1075,Richard Dumas,NBA,3,1996,41,4
1076,Tony Dumas,NBA,2,1998,17,4
1078,Tim Duncan,NBA,0,2016,58,19
1079,Mike Dunleavy,NBA,2,1990,41,14
1080,Mike Dunleavy,NBA,0,2017,50,15
1081,Kris Dunn,NBA,2,2018,58,2
1082,Pat Dunn,NBA,2,1958,10,1
1083,T.R. Dunn,NBA,0,1991,39,14
1084,Ronald Dupree,NBA,3,2011,90,8
1085,Kevin Durant,NBA,0,2018,59,11
1086,John Duren,NBA,2,1983,53,3
1088,Pat Durham,NBA,3,1995,29,3
1089,Devin Durrant,NBA,3,1986,40,2
1090,Ken Durrett,NBA,3,1975,5,4
1091,Dennis DuVal,NBA,2,1976,49,2
1093,Craig Dykema,NBA,3,1982,39,1
1095,Jerome Dyson,NBA,2,2012,53,1
1096,Ledell Eackles,NBA,0,1998,9,10
1097,Jim Eakins,NBA,1,1978,43,10
1098,Acie Earl,NBA,0,1997,45,4
1100,Cleanthony Early,NBA,3,2016,65,2
1102,Mark Eaton,NBA,1,1993,26,11
1103,Jerry Eaves,NBA,2,1987,65,5
1104,Devin Ebanks,NBA,3,2013,51,3
1105,Bill Ebben,NBA,2,1958,8,1
1106,Al Eberhard,NBA,3,1978,37,4
1107,Ndudi Ebi,NBA,3,2005,45,2
1108,Roy Ebron,NBA,1,1974,1,1
1109,Jarell Eddie,NBA,0,2017,46,2
1110,Patrick Eddie,NBA,1,1992,27,1
1112,Kenton Edelin,NBA,3,1985,14,1
1113,Charles Edge,NBA,3,1975,16,2
1114,Bobby Edmonds,NBA,3,1970,15,3
1115,Keith Edmonson,NBA,2,1984,15,2
1116,Tyus Edney,NBA,2,2001,20,6
1117,Bill Edwards,NBA,3,1994,29,1
1118,Blue Edwards,NBA,0,1999,12,10
1119,Corsley Edwards,NBA,3,2005,66,1
1120,Doug Edwards,NBA,3,1996,78,3
1121,Franklin Edwards,NBA,2,1988,65,7
1122,James Edwards,NBA,0,1996,35,19
1123,Jay Edwards,NBA,2,1990,57,1
1124,John Edwards,NBA,1,2006,34,2
1125,Kevin Edwards,NBA,2,2001,26,13
1126,Shane Edwards,NBA,3,2014,35,1
1127,Johnny Egan,NBA,2,1972,54,11
1129,Bulbs Ehlers,NBA,0,1949,27,2
1130,Craig Ehlo,NBA,0,1997,0,14
1132,Howard Eisley,NBA,2,2006,51,12
1133,Obinna Ekezie,NBA,0,2005,37,6
1134,Khalid El-Amin,NBA,2,2001,47,1
1135,Don Eliason,NBA,3,1947,11,1
1136,Mario Elie,NBA,0,2001,41,11
1138,Henry Ellenson,NBA,3,2018,74,2
1139,Wayne Ellington,NBA,2,2018,48,9
1140,Bob Elliott,NBA,0,1981,12,3
1141,Sean Elliott,NBA,3,2001,61,12
1144,Dale Ellis,NBA,0,2000,48,17
1145,Harold Ellis,NBA,2,1998,22,5
1146,Joe Ellis,NBA,0,1974,22,8
1147,LaPhonso Ellis,NBA,3,2003,25,11
1148,LeRon Ellis,NBA,0,1996,2,5
1149,Leroy Ellis,NBA,0,1976,39,14
1150,Monta Ellis,NBA,2,2017,35,12
1151,Pervis Ellison,NBA,0,2001,83,12
1152,Len Elmore,NBA,0,1984,25,10
1153,Francisco Elson,NBA,1,2012,46,9
1154,Darrell Elston,NBA,2,1977,10,3
1155,Melvin Ely,NBA,1,2014,60,12
1156,Joel Embiid,NBA,0,2018,72,2
1158,Andre Emmett,NBA,3,2012,24,8
1160,Chris Engler,NBA,1,1988,71,6
1163,Alex English,NBA,3,1991,35,15
1165,Jo Jo English,NBA,2,1995,63,3
1166,Kim English,NBA,2,2013,69,1
1167,Scott English,NBA,3,1975,25,3
1169,James Ennis,NBA,3,2018,94,4
1170,Tyler Ennis,NBA,2,2018,49,4
1171,Ray Epps,NBA,3,1979,32,1
1172,Semih Erden,NBA,1,2012,87,2
1174,Keith Erickson,NBA,0,1977,22,12
1176,Evan Eschmeyer,NBA,1,2003,16,4
1178,Vincenzo Esposito,NBA,2,1996,41,1
1181,Brian Evans,NBA,3,1999,16,3
1182,Earl Evans,NBA,3,1980,18,1
1183,Jawun Evans,NBA,2,2018,34,1
1184,Jeremy Evans,NBA,3,2016,21,6
1185,Maurice Evans,NBA,2,2012,23,11
1187,Reggie Evans,NBA,3,2015,93,13
1188,Tyreke Evans,NBA,0,2018,105,9
1189,Daniel Ewing,NBA,2,2007,64,2
1190,Patrick Ewing,NBA,0,2002,78,17
1191,Patrick Ewing,NBA,3,2011,22,1
1192,Dante Exum,NBA,2,2017,85,3
1193,Christian Eyenga,NBA,3,2012,26,2
1194,Festus Ezeli,NBA,1,2016,35,4
1196,Joe Fabel,NBA,0,1947,11,1
1197,John Fairchild,NBA,3,1970,0,5
1198,Phil Farbman,NBA,3,1949,28,1
1199,Kenneth Faried,NBA,3,2018,30,7
1201,Jordan Farmar,NBA,2,2017,32,11
1202,Desmon Farmer,NBA,2,2009,69,3
1203,Jim Farmer,NBA,2,1994,74,7
1204,Mike Farmer,NBA,3,1966,12,8
1205,Tony Farmer,NBA,3,2000,26,3
1206,Bob Faught,NBA,3,1947,16,1
1207,Vitor Faverani,NBA,1,2014,85,1
1208,Derrick Favors,NBA,0,2018,56,8
1209,Nick Fazekas,NBA,3,2008,13,1
1213,Jamie Feick,NBA,1,2001,71,5
1215,George Feigenbaum,NBA,2,1953,24,4
1216,Dave Feitl,NBA,1,1992,70,6
1217,Kay Felder,NBA,2,2018,41,2
1218,Cristiano Felicio,NBA,0,2018,20,3
1219,Carrick Felix,NBA,2,2014,29,1
1220,Noel Felix,NBA,3,2006,53,1
1221,Ray Felix,NBA,1,1962,29,9
1222,Raymond Felton,NBA,2,2018,54,13
1225,Desmond Ferguson,NBA,0,2004,79,1
1226,Terrance Ferguson,NBA,0,2018,81,1
1227,Rudy Fernandez,NBA,2,2012,46,4
1229,Al Ferrari,NBA,0,1963,14,8
1230,Rolando Ferreira,NBA,1,1989,27,1
1231,Duane Ferrell,NBA,0,1999,11,11
1232,Yogi Ferrell,NBA,2,2018,74,2
1233,Arnie Ferrin,NBA,0,1951,4,3
1234,Bob Ferry,NBA,0,1969,18,10
1235,Danny Ferry,NBA,3,2003,61,13
1236,Kyrylo Fesenko,NBA,1,2012,39,5
1237,Bobby Fields,NBA,2,1972,44,1
1239,Landry Fields,NBA,3,2015,46,5
1241,Greg Fillmore,NBA,1,1972,24,2
1243,Hank Finkel,NBA,1,1975,52,9
1244,Michael Finley,NBA,0,2010,90,15
1246,Dorian Finney-Smith,NBA,3,2018,96,2
1247,Matt Fish,NBA,1,1997,43,3
1248,Derek Fisher,NBA,2,2014,81,18
1249,Richard Fisher,NBA,3,1972,10,1
1250,Gerald Fitch,NBA,2,2006,25,1
1253,Marcus Fizer,NBA,3,2006,17,6
1254,Jerry Fleishman,NBA,0,1953,0,7
1255,Al Fleming,NBA,3,1978,25,1
1256,Ed Fleming,NBA,0,1960,21,5
1257,Vern Fleming,NBA,2,1996,21,12
1258,Luis Flores,NBA,2,2005,57,1
1260,Sleepy Floyd,NBA,2,1995,2,13
1261,Jonny Flynn,NBA,2,2012,27,3
1262,Mike Flynn,NBA,2,1978,7,3
1264,Jack Foley,NBA,3,1963,13,1
1265,Isaac Fontaine,NBA,2,2002,53,1
1266,Levi Fontaine,NBA,2,1971,19,1
1267,Jeff Foote,NBA,1,2012,66,1
1268,Bryn Forbes,NBA,2,2018,62,2
1269,Gary Forbes,NBA,3,2012,30,2
1270,Alphonso Ford,NBA,2,1995,23,2
1271,Alton Ford,NBA,3,2004,21,3
1272,Bob Ford,NBA,3,1973,47,1
1273,Chris Ford,NBA,0,1982,28,10
1274,Don Ford,NBA,3,1982,1,7
1276,Phil Ford,NBA,2,1985,9,7
1277,Sharrod Ford,NBA,3,2006,60,1
1278,Sherell Ford,NBA,3,1996,28,1
1279,T.J. Ford,NBA,2,2012,35,9
1281,Bayard Forrest,NBA,1,1979,19,2
1282,Joseph Forte,NBA,2,2003,22,2
1283,Courtney Fortson,NBA,2,2012,20,1
1284,Danny Fortson,NBA,3,2007,79,10
1285,Fred Foster,NBA,3,1977,37,9
1286,Greg Foster,NBA,0,2003,76,13
1287,Jeff Foster,NBA,0,2012,36,13
1289,Rod Foster,NBA,2,1986,37,3
1290,Antonis Fotsis,NBA,3,2002,59,1
1291,Evan Fournier,NBA,0,2018,49,6
1295,Tremaine Fowlkes,NBA,3,2005,28,4
1296,De'Aaron Fox,NBA,2,2018,53,1
1297,Harold Fox,NBA,2,1973,60,1
1299,Rick Fox,NBA,0,2004,55,13
1300,Randy Foye,NBA,2,2017,72,11
1301,Adonal Foyle,NBA,1,2009,19,12
1302,Richie Frahm,NBA,2,2008,63,5
1303,Steve Francis,NBA,2,2008,66,9
1304,Tellis Frank,NBA,0,1994,30,7
1306,Jamaal Franklin,NBA,2,2015,62,2
1308,Ronald Franz,NBA,3,1973,29,6
1309,Tim Frazier,NBA,2,2018,70,4
1310,Walt Frazier,NBA,2,1980,30,13
1312,Anthony Frederick,NBA,3,1992,71,4
1313,Jimmer Fredette,NBA,2,2016,81,5
1314,World B. Free,NBA,2,1988,43,13
1315,Joel Freeland,NBA,0,2015,84,3
1317,Gary Freeman,NBA,3,1971,22,1
1318,Rod Freeman,NBA,3,1974,54,1
1319,Matt Freije,NBA,3,2007,89,3
1320,Frido Frey,NBA,3,1947,26,1
1321,Larry Friend,NBA,0,1958,12,1
1324,Channing Frye,NBA,0,2018,60,13
1328,Joe Fulks,NBA,0,1954,32,8
1330,Hiram Fuller,NBA,3,2004,22,1
1331,Todd Fuller,NBA,1,2001,83,5
1332,Tony Fuller,NBA,2,1981,35,1
1333,Markelle Fultz,NBA,2,2018,53,1
1334,Lawrence Funderburke,NBA,3,2005,63,8
1337,Dan Gadzuric,NBA,1,2012,62,10
1338,Deng Gai,NBA,3,2006,37,1
1339,Elmer Gainer,NBA,0,1950,23,3
1341,Corey Gaines,NBA,2,1995,4,7
1342,David Gaines,NBA,2,1968,31,1
1343,Reece Gaines,NBA,2,2006,41,3
1344,Sundiata Gaines,NBA,2,2012,90,3
1345,Mike Gale,NBA,2,1982,5,11
1346,Chad Gallagher,NBA,1,1994,21,1
1348,Danilo Gallinari,NBA,3,2018,37,10
1349,Langston Galloway,NBA,2,2018,74,4
1350,Dave Gambee,NBA,3,1970,47,12
1351,Kevin Gamble,NBA,0,1997,48,10
1353,Jorge Garbajosa,NBA,3,2008,83,2
1354,Ruben Garces,NBA,3,2001,83,1
1355,Alex Garcia,NBA,2,2005,12,2
1356,Francisco Garcia,NBA,0,2015,58,10
1357,Chuck Gardner,NBA,3,1968,4,1
1358,Earl Gardner,NBA,3,1949,17,1
1359,Kenneth Gardner,NBA,3,1976,36,1
1360,Thomas Gardner,NBA,2,2009,34,2
1363,Patricio Garino,NBA,0,2017,42,1
1364,Gary Garland,NBA,2,1980,24,1
1365,Winston Garland,NBA,2,1995,29,8
1367,Bill Garner,NBA,1,1968,21,1
1368,Chris Garner,NBA,2,2001,51,4
1369,Bill Garnett,NBA,3,1986,20,4
1370,Kevin Garnett,NBA,0,2016,57,21
1371,Marlon Garnett,NBA,2,1999,25,1
1372,Calvin Garrett,NBA,3,1984,8,4
1373,Dean Garrett,NBA,1,2002,52,6
1374,Diante Garrett,NBA,2,2014,29,2
1376,Rowland Garrett,NBA,3,1977,57,5
1377,Tom Garrick,NBA,2,1992,25,4
1378,John Garris,NBA,3,1984,20,1
1379,Kiwane Garris,NBA,2,2000,14,3
1380,Pat Garrity,NBA,3,2008,81,10
1381,Jim Garvin,NBA,3,1974,9,1
1382,Marc Gasol,NBA,1,2018,26,10
1383,Pau Gasol,NBA,0,2018,45,17
1385,Chris Gatling,NBA,0,2002,33,11
1386,Kenny Gattison,NBA,0,1996,13,10
1387,Rudy Gay,NBA,3,2018,41,12
1388,Ed Gayda,NBA,0,1951,23,1
1389,Andrew Gaze,NBA,2,1999,9,6
1390,Michael Gbinije,NBA,2,2017,49,1
1391,Reggie Geary,NBA,2,1998,4,2
1392,Alonzo Gee,NBA,2,2017,64,8
1393,Matt Geiger,NBA,1,2002,39,10
1394,Mickael Gelabale,NBA,3,2013,61,7
1395,Devean George,NBA,0,2010,90,11
1396,Jack George,NBA,2,1961,11,8
1397,Paul George,NBA,3,2018,70,8
1398,Tate George,NBA,2,1995,9,5
1399,Marcus Georges-Hunt,NBA,2,2018,95,2
1400,Gus Gerard,NBA,0,1981,60,7
1401,Derrick Gervin,NBA,3,1991,4,2
1402,George Gervin,NBA,0,1986,46,14
1406,Daniel Gibson,NBA,2,2013,28,7
1409,Jonathan Gibson,NBA,2,2017,52,1
1410,Mel Gibson,NBA,2,1964,17,1
1411,Mike Gibson,NBA,3,1986,22,3
1412,Taj Gibson,NBA,3,2018,72,9
1413,J.R. Giddens,NBA,2,2010,61,2
1414,Trey Gilder,NBA,3,2010,63,1
1415,Eddie Gill,NBA,2,2009,87,9
1416,Kendall Gill,NBA,2,2005,28,15
1417,Ben Gillery,NBA,1,1989,12,1
1418,Jack Gillespie,NBA,3,1970,14,1
1420,Armen Gilliam,NBA,0,2000,82,13
1421,Herm Gilliam,NBA,0,1977,10,8
1422,Artis Gilmore,NBA,1,1988,33,17
1423,Walt Gilmore,NBA,3,1971,44,1
1425,Manu Ginobili,NBA,2,2018,71,16
1426,Gordan Giricek,NBA,0,2008,30,6
1428,Mickell Gladness,NBA,1,2012,53,1
1430,Gerald Glass,NBA,0,1996,29,6
1431,Mike Glenn,NBA,2,1987,54,10
1432,Normie Glick,NBA,3,1950,37,1
1433,Georgi Glouchkov,NBA,3,1986,15,1
1435,Dion Glover,NBA,2,2005,50,6
1436,Andreas Glyniadakis,NBA,1,2007,44,1
1437,Mike Gminski,NBA,1,1994,13,14
1438,Rudy Gobert,NBA,1,2018,75,5
1439,Dan Godfread,NBA,1,1992,16,2
1441,Ben Goldfaden,NBA,3,1947,27,1
1442,Anthony Goldwire,NBA,2,2006,11,11
1443,Ryan Gomes,NBA,3,2014,31,9
1445,Grant Gondrezick,NBA,2,1989,1,3
1446,Drew Gooden,NBA,3,2016,54,14
1447,Gail Goodrich,NBA,2,1979,52,14
1448,Steve Goodrich,NBA,3,2002,18,2
1449,Archie Goodwin,NBA,2,2017,97,4
1451,Aaron Gordon,NBA,3,2018,76,4
1452,Ben Gordon,NBA,2,2015,87,11
1453,Drew Gordon,NBA,3,2015,85,1
1454,Eric Gordon,NBA,2,2018,51,10
1455,Lancaster Gordon,NBA,2,1988,44,4
1457,Marcin Gortat,NBA,0,2018,36,11
