,player_ID,sport,position,retire_year,retire_age,years_played
157,Kelenna Azubuike,NBA,2,2012,22,6
158,Chris Babb,NBA,2,2014,25,1
159,Luke Babbitt,NBA,3,2018,50,8
160,Milos Babic,NBA,0,1992,68,2
162,Dwayne Bacon,NBA,2,2018,70,1
163,Henry Bacon,NBA,2,1973,46,1
165,Dalibor Bagaric,NBA,1,2003,43,3
166,John Bagley,NBA,2,1994,36,12
167,Carl Bailey,NBA,1,1982,31,1
168,Gus Bailey,NBA,0,1980,23,6
169,James Bailey,NBA,0,1988,27,9
170,Thurl Bailey,NBA,0,1999,24,16
171,Toby Bailey,NBA,2,2000,10,2
172,Cameron Bairstow,NBA,0,2016,63,2
173,Jimmie Baker,NBA,3,1976,7,1
174,LaMark Baker,NBA,2,1999,20,1
175,Maurice Baker,NBA,2,2005,82,1
177,Ron Baker,NBA,2,2018,47,2
178,Vin Baker,NBA,3,2006,10,13
179,Wade Baldwin,NBA,2,2017,33,1
180,Renaldo Balkman,NBA,3,2012,44,6
182,Lonzo Ball,NBA,2,2018,63,1
183,Greg Ballard,NBA,3,1989,68,12
185,Gene Banks,NBA,0,1987,6,6
186,Marcus Banks,NBA,2,2011,64,8
187,Walker Banks,NBA,1,1971,11,1
188,Ken Bannister,NBA,0,1991,40,7
189,Mike Bantom,NBA,0,1982,55,9
191,Leandro Barbosa,NBA,2,2017,49,14
192,Steve Bardo,NBA,2,1996,12,5
193,J.J. Barea,NBA,2,2018,33,12
194,Andrea Bargnani,NBA,0,2016,95,10
196,Tom Barker,NBA,0,1979,16,3
197,Charles Barkley,NBA,3,2000,22,16
198,Erick Barkley,NBA,2,2002,79,2
200,Harrison Barnes,NBA,3,2018,73,6
201,Harry Barnes,NBA,3,1969,28,1
202,Jim Barnes,NBA,0,1971,19,7
203,Marvin Barnes,NBA,0,1980,0,6
204,Matt Barnes,NBA,3,2017,81,14
205,Dick Barnett,NBA,0,1974,30,15
206,Jim Barnett,NBA,0,1977,24,11
207,Nathaniel Barnett,NBA,2,1976,38,1
208,John Barnhill,NBA,2,1972,19,10
209,Norton Barnhill,NBA,2,1977,53,1
210,Leo Barnhorst,NBA,0,1954,36,5
212,Mike Barr,NBA,2,1977,33,5
214,Andre Barrett,NBA,2,2008,79,4
215,Ernie Barrett,NBA,0,1956,13,3
217,Earl Barron,NBA,1,2015,48,10
218,Dana Barros,NBA,2,2004,33,15
219,Brent Barry,NBA,2,2009,36,14
220,Drew Barry,NBA,2,2000,31,3
221,Jon Barry,NBA,2,2006,62,14
222,Rick Barry,NBA,3,1980,55,15
223,Ed Bartels,NBA,3,1951,3,2
225,Will Barton,NBA,2,2018,35,6
226,Eddie Basden,NBA,2,2006,55,1
228,Brandon Bass,NBA,3,2017,66,12
229,Tim Bassett,NBA,0,1980,5,7
230,Maceo Baston,NBA,3,2009,34,7
231,Mengke Bateer,NBA,1,2004,48,3
232,Billy Ray Bates,NBA,2,1983,0,4
233,Esteban Batista,NBA,0,2007,30,2
234,Mike Batiste,NBA,3,2003,27,1
235,Tony Battie,NBA,0,2012,34,15
236,Shane Battier,NBA,3,2014,52,13
237,John Battle,NBA,2,1995,31,10
238,Kenny Battle,NBA,3,1993,37,4
239,Dave Batton,NBA,1,1984,33,2
241,Nicolas Batum,NBA,0,2018,72,10
242,Johnny Baum,NBA,3,1974,56,5
244,Lonny Baxter,NBA,3,2006,18,4
245,Jerryd Bayless,NBA,2,2018,84,10
246,Elgin Baylor,NBA,3,1972,30,14
248,Aron Baynes,NBA,1,2018,53,6
249,Sergei Bazarevich,NBA,2,1995,6,1
250,Kent Bazemore,NBA,0,2018,89,6
252,Bradley Beal,NBA,2,2018,76,6
253,Al Beard,NBA,1,1968,21,1
254,Butch Beard,NBA,2,1979,52,10
255,Ralph Beard,NBA,2,1951,6,2
257,Jerome Beasley,NBA,3,2004,60,1
259,Malik Beasley,NBA,2,2018,29,2
260,Michael Beasley,NBA,3,2018,79,10
262,Rodrigue Beaubois,NBA,2,2013,68,4
263,Byron Beck,NBA,0,1977,6,10
264,Corey Beck,NBA,2,1999,68,4
265,Ernie Beck,NBA,0,1961,19,8
266,Arthur Becker,NBA,3,1973,56,6
267,Moe Becker,NBA,0,1947,3,1
268,Bob Bedell,NBA,3,1971,8,4
269,William Bedford,NBA,1,1993,77,7
271,Ron Behagen,NBA,0,1980,51,7
273,Marco Belinelli,NBA,0,2018,39,11
274,Charlie Bell,NBA,2,2011,60,10
276,Jordan Bell,NBA,3,2018,42,1
277,Raja Bell,NBA,2,2012,32,12
278,Troy Bell,NBA,2,2004,72,1
279,Whitey Bell,NBA,2,1961,22,2
281,DeAndre' Bembry,NBA,3,2018,88,2
